SCAN H = log(n) + lambda*Dmax80(n) - mu*Cmax80(n) + theta*Pmax80(n)
========================================================================================================================

LIMIT = 5000000
MAX_BLOCK_STEPS = 300
LOOKAHEAD = 80
LAMBDAS = [0.28, 0.3, 0.32, 0.34]
MUS = [0.02, 0.03, 0.04, 0.05, 0.06]
THETAS = [0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3]
CPU_COUNT = 8
WORKERS = 7
CHUNK_SIZE = 25000
Tempo totale secondi = 213.47

Candidato precedente:
lambda=0.30 | mu=0.04 | theta=0.00 | avg_H=3.147416 | max_H=140 | improved=341157 | worsened=86

Migliori per pochi peggioramenti
------------------------------------------------------------------------------------------------------------------------
lambda=0.30 | mu=0.05 | theta=0.25 | avg_H=3.094440 | max_H=140 | improved=  410056 | worsened=      84 | worst_loss= 107 | score=+0.393351 | worst_n=4941897 | best_n=2943135
lambda=0.30 | mu=0.04 | theta=0.25 | avg_H=3.114453 | max_H=140 | improved=  403601 | worsened=      84 | worst_loss= 107 | score=+0.373338 | worst_n=4941897 | best_n=1784859
lambda=0.28 | mu=0.06 | theta=0.10 | avg_H=3.119460 | max_H=140 | improved=  352151 | worsened=      84 | worst_loss= 107 | score=+0.368331 | worst_n=4941897 | best_n=2943135
lambda=0.30 | mu=0.04 | theta=0.20 | avg_H=3.124678 | max_H=140 | improved=  384716 | worsened=      84 | worst_loss= 107 | score=+0.363113 | worst_n=4941897 | best_n=1784859

RISULTATI SINTETICI
========================================================================================================================

Migliore candidata conservativa:
lambda=0.28, mu=0.03, theta=0.30, avg_H=3.145942, max_H=140, improved=396644, worsened=76, worst_loss=108

Migliore per media:
lambda=0.34, mu=0.06, theta=0.20, avg_H=3.032053, max_H=140, improved=440598, worsened=98, worst_loss=107

Migliore per massimo step:
lambda=0.28, mu=0.03, theta=0.30, avg_H=3.145942, max_H=140, improved=396644, worsened=76, worst_loss=108
