rank;start;classe_mod_1024;pattern_length;sum_v2;modulus_power;modulus;solutions_count;residue;start_equals_residue;start_congruent_to_residue;quotient_start_minus_residue_over_modulus;density_among_odd_classes;max_debt;max_debt_step;peak_step;first_descent_step;max_run_1;avg_v2;ratio_1;pattern_prefix_80;time_seconds
54;2870431;159;43;54;55;36028797018963968;1;2870431;True;True;0;5.551115123125782702118158340454E-17;14.153387531009713;43;43;67;12;1.7410071942446044;0.5971223021582733;1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1;0.000663
55;318975;511;31;35;36;68719476736;1;318975;True;True;0;2.910383045673370361328125000000E-11;14.13383752235584;31;31;44;12;1.875;0.609375;1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1;0.000281
56;1056767;1023;31;35;36;68719476736;1;1056767;True;True;0;2.910383045673370361328125000000E-11;14.13383752235584;31;31;45;12;1.8235294117647058;0.5764705882352941;1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1;0.000285
57;1689023;447;125;184;185;49039857307708443467467104868809893875799651909875269632;1;1689023;True;True;0;4.078315292499077829193933818285E-56;14.120312590144522;125;125;140;10;1.6923076923076923;0.6461538461538462;1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1;0.007688
58;2375451;795;72;100;101;2535301200456458802993406410752;1;2375451;True;True;0;7.888609052210118054117285652828E-31;14.117300051923237;72;72;89;10;1.7580645161290323;0.5725806451612904;1,2,1,1,1,1,1,1,1,2,1,3,1,2,2,2,1,1,2,1,1,1,2,3,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,2,1,5,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1;0.002316
59;2943135;159;72;100;101;2535301200456458802993406410752;1;2943135;True;True;0;7.888609052210118054117285652828E-31;14.117300051923237;72;72;96;12;1.7142857142857142;0.6071428571428571;1,1,1,1,2,1,1,1,1,1,3,2,2,3,1,3,1,1,1,2,1,1,1,1,1,3,1,4,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1;0.002124
60;4985343;511;72;100;101;2535301200456458802993406410752;1;4985343;True;True;0;7.888609052210118054117285652828E-31;14.117300051923237;72;72;111;8;1.7333333333333334;0.5933333333333334;1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,1,2,1,1,2,1,1,1,1,1,1,1,1,4,1,2,1,2,3,1,1,1,1,1,1,1,3,3,1,2,1,1,1,1,1,2,1,2,1,3,1,1,2,1,1,3,1,1,1,1,1,1,1,2,1,1;0.002190
61;997823;447;60;81;82;4835703278458516698824704;1;997823;True;True;0;4.135903062765138374357043460350E-25;14.097750043269372;60;60;87;9;1.7098765432098766;0.5925925925925926;1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,3,1,2,1,3,1,1,1,1,1,2,1,2,1,2,1,1,1,3,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1;0.001360
62;2882815;255;60;81;82;4835703278458516698824704;1;2882815;True;True;0;4.135903062765138374357043460350E-25;14.097750043269372;60;60;94;7;1.7462686567164178;0.582089552238806;1,1,1,1,1,1,1,3,1,1,2,2,2,1,3,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,4,2,1,1,1,1,2,1,1,1,1;0.001422
63;2983289;377;60;81;82;4835703278458516698824704;1;2983289;True;True;0;4.135903062765138374357043460350E-25;14.097750043269372;60;60;1;12;1.7243589743589745;0.6025641025641025;2,1,2,1,1,1,1,2,1,1,1,1,1,3,1,4,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1;0.001482
