lambda;mu;theta;total;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio;worst_loss;worst_loss_n;best_gain;best_gain_n;score_avg_gain
0.32;0.03;0.3;2499999;3.487790995116398;3.1332120532848213;141;140;434430;36670;2028899;0.17377206950882781;0.014668005867202348;0.8115599246239699;107;4941897;78;824347;0.35457894183157673
0.32;0.04;0.0;2499999;3.487790995116398;3.132884853153941;141;140;347855;91;2152053;0.13914205565682225;3.640001456000583e-05;0.8608215443286177;107;4941897;80;4519375;0.3549061419624568
0.32;0.04;0.05;2499999;3.487790995116398;3.1301748520699406;141;140;351722;90;2148187;0.1406888562755425;3.600001440000576e-05;0.8592751437100575;107;4941897;80;4519375;0.3576161430464572
0.32;0.04;0.1;2499999;3.487790995116398;3.12457004982802;141;140;361089;90;2138820;0.14443565777426312;3.600001440000576e-05;0.8555283422113369;107;4941897;80;4519375;0.3632209452883781
0.32;0.04;0.15;2499999;3.487790995116398;3.118236847294739;141;140;373236;89;2126674;0.14929445971778388;3.56000142400057e-05;0.8506699402679762;107;4941897;80;4519375;0.36955414782165913
0.32;0.04;0.2;2499999;3.487790995116398;3.106016042406417;141;140;398121;88;2101790;0.15924846369938547;3.520001408000563e-05;0.8407163362865345;107;4941897;80;4519375;0.3817749527099811
0.32;0.04;0.25;2499999;3.487790995116398;3.093846437538575;141;140;418459;88;2081452;0.1673836669534668;3.520001408000563e-05;0.8325811330324532;107;4941897;80;4519375;0.39394455757782304
0.32;0.04;0.3;2499999;3.487790995116398;3.113200845280338;141;140;448371;42994;2008634;0.1793484717393887;0.017197606879042752;0.8034539213815686;107;4941897;80;4519375;0.3745901498360599
0.32;0.05;0.0;2499999;3.487790995116398;3.113335245334098;141;140;352290;93;2147616;0.14091605636642254;3.720001488000595e-05;0.8590467436186975;107;4941897;80;2943135;0.3744557497822999
0.32;0.05;0.05;2499999;3.487790995116398;3.1099728439891376;141;140;356744;92;2143163;0.14269765707906285;3.680001472000589e-05;0.8572655429062171;107;4941897;80;2943135;0.37781815112726047
0.32;0.05;0.1;2499999;3.487790995116398;3.1037752415100965;141;140;367229;93;2132677;0.1468916587566635;3.720001488000595e-05;0.8530711412284565;107;4941897;80;2943135;0.38401575360630147
0.32;0.05;0.15;2499999;3.487790995116398;3.0975836390334557;141;140;379387;92;2120520;0.15175486070194427;3.680001472000589e-05;0.8482083392833357;107;4941897;80;2943135;0.39020735608294244
0.32;0.05;0.2;2499999;3.487790995116398;3.0841356336542534;141;140;404638;90;2095271;0.1618552647421059;3.600001440000576e-05;0.838108735243494;107;4941897;80;2943135;0.4036553614621446
0.32;0.05;0.25;2499999;3.487790995116398;3.070057628023051;141;140;428492;91;2071416;0.17139686855874742;3.640001456000583e-05;0.8285667314266926;107;4941897;80;1784859;0.41773336709334685
0.32;0.05;0.3;2499999;3.487790995116398;3.0951544380617753;141;140;458592;49574;1991833;0.18343687337474934;0.01982960793184317;0.7967335186934075;107;4941897;80;1784859;0.3926365570546228
0.32;0.06;0.0;2499999;3.487790995116398;3.094486037794415;141;140;356318;93;2143588;0.1425272570109028;3.720001488000595e-05;0.8574355429742172;107;4941897;80;2943135;0.39330495732198295
0.32;0.06;0.05;2499999;3.487790995116398;3.0904488361795344;141;140;361820;92;2138087;0.14472805789122314;3.680001472000589e-05;0.8552351420940568;107;4941897;80;1784859;0.3973421589368636
0.32;0.06;0.1;2499999;3.487790995116398;3.0845396338158535;141;140;372086;93;2127820;0.14883445953378382;3.720001488000595e-05;0.8511283404513362;107;4941897;80;1784859;0.4032513613005445
0.32;0.06;0.15;2499999;3.487790995116398;3.076260030504012;141;140;386748;92;2113159;0.15469926187970476;3.680001472000589e-05;0.8452639381055752;107;4941897;80;1784859;0.41153096461238586
0.32;0.06;0.2;2499999;3.487790995116398;3.06263562505425;141;140;412287;90;2087622;0.1649148659659464;3.600001440000576e-05;0.8350491340196536;107;4941897;80;1784859;0.42515537006214804
0.32;0.06;0.25;2499999;3.487790995116398;3.0460280184112074;141;140;440383;92;2059524;0.1761532704613082;3.680001472000589e-05;0.8238099295239718;107;4941897;80;1784859;0.44176297670519066
0.32;0.06;0.3;2499999;3.487790995116398;3.080637232254893;141;140;468878;58803;1972318;0.18755127502051;0.023521209408483762;0.7889275155710063;107;4941897;80;1784859;0.4071537628615051
0.34;0.02;0.0;2499999;3.487790995116398;3.162507665003066;141;140;341924;96;2157979;0.13676965470786187;3.8400015360006146e-05;0.8631919452767781;108;4941897;78;824347;0.32528333011333205
0.34;0.02;0.05;2499999;3.487790995116398;3.1589112635645056;141;140;347187;95;2152717;0.13887485554994222;3.800001520000608e-05;0.8610871444348578;108;4941897;78;824347;0.3288797315518926
