start;classe_mod_1024;reached_one;total_syracuse_steps;max_value;max_ratio;peak_step;first_positive_surplus_step;first_descent_step;max_debt;max_debt_step;max_consecutive_v2_1;total_v2;avg_v2;final_surplus
1723519;127;True;207;15523957313;9007.128620572214;84;111;111;13.136850060577103;84;9;349;1.6859903381642511;20.912762350720698
637949;1021;True;64;5734125917;8988.376683716097;31;1;1;13.13383752235584;31;12;121;1.890625;19.56239995384601
2113535;1023;True;85;18997161173;8988.335264379346;31;39;39;13.13383752235584;31;13;156;1.8352941176470587;21.278187438701735
3378047;895;True;195;30079718549;8904.470112168363;125;34;34;13.120312590144522;125;10;331;1.6974358974358974;21.932312359374578
4750903;567;True;124;42216015293;8885.892911936951;72;3;3;13.117300051923237;72;10;219;1.7661290322580645;22.46464991057664
1995647;895;True;162;17494428437;8766.294057516185;60;78;78;13.097750043269372;60;9;278;1.7160493827160495;21.236074883172705
924907;235;True;123;7998895637;8648.324249897558;48;3;3;13.078200034615492;48;11;215;1.7479674796747968;20.0496124112978
3732009;553;True;111;32275538477;8648.301351095348;48;1;1;13.078200034615492;48;10;198;1.7837837837837838;22.06916241995168
4554855;103;True;109;39391746821;8648.298753966921;48;70;70;13.078200034615492;48;9;195;1.7889908256880733;22.239087421393975
960963;451;True;152;8216025965;8549.783878255459;89;2;2;13.061662564182882;89;7;261;1.7171052631578947;20.085699890384262
3518207;767;True;159;30079718549;8549.7296063023;89;104;104;13.061662564182882;89;9;274;1.7232704402515724;21.99096238533619
2226603;427;True;90;18997161173;8531.90316055444;36;3;3;13.058650025961619;36;14;164;1.8222222222222222;21.353374935095957
4550939;283;True;119;38828142341;8531.896898859774;36;82;82;13.058650025961619;36;16;211;1.773109243697479;22.389462414182418
2938879;1023;True;115;25074208145;8531.895374052487;36;47;47;13.058650025961619;36;12;204;1.7739130434782608;21.729312417067064
4395675;667;True;102;37503439181;8531.895370108117;36;54;54;13.058650025961619;36;15;184;1.803921568627451;22.333824926442077
3558763;363;True;200;30079718549;8452.296078440739;130;3;3;13.0451250937503;130;10;339;1.695;22.0074998557688
974079;255;True;140;8216025965;8434.660807798957;77;92;92;13.042112555529016;77;7;242;1.7285714285714286;20.105249899038142
1835007;1023;True;123;15445365281;8417.060687506913;24;73;73;13.039100017307746;24;17;216;1.7560975609756098;21.0496124112978
2102407;135;True;167;17494428437;8321.142593703313;65;4;4;13.02256254687515;65;9;286;1.7125748502994012;21.311262379566926
3706423;567;True;164;30079718549;8115.565478899737;94;3;3;12.98647506778866;94;10;282;1.7195121951219512;22.066149881730382
1004883;339;True;121;8138196845;8098.651131524764;41;2;2;12.983462529567404;41;12;212;1.7520661157024793;20.219537412740124
4863999;1023;True;102;39391746821;8098.633823937875;41;63;63;12.983462529567404;41;10;184;1.803921568627451;22.333824926442077
1026187;139;True;145;8216025965;8006.363328516148;82;3;3;12.966925059134809;82;7;250;1.7241379310344827;20.180437395432364
717695;895;True;62;5734125917;7989.641723852054;29;41;41;12.963912520913524;29;12;118;1.903225806451613;19.73232495528832
2377727;1023;True;83;18997161173;7989.630926090337;29;37;37;12.963912520913524;29;10;153;1.8433734939759037;21.448112440144058
4859817;937;True;112;38828142341;7989.630543907312;29;1;1;12.963912520913524;29;16;200;1.7857142857142858;22.48419991923052
3800303;239;True;193;30079718549;7915.0842838057915;123;32;32;12.950387588702199;123;10;328;1.6994818652849741;22.1022373608169
1991615;959;True;152;15730912385;7898.570951212961;70;117;117;12.947375050480929;70;5;262;1.7236842105263157;21.085699890384262
2245103;495;True;160;17494428437;7792.260950611175;58;76;76;12.927825041827049;58;9;275;1.71875;21.405999884615028
3563611;91;True;106;27768579569;7792.258910694798;58;78;78;12.927825041827049;58;9;190;1.7924528301886793;21.99397492355746
1040521;137;True;121;7998895637;7687.394715724142;46;1;1;12.908275033173183;46;11;212;1.7520661157024793;20.219537412740124
4198511;111;True;109;32275538477;7687.377376646149;46;72;72;12.908275033173183;46;10;195;1.7889908256880733;22.239087421393975
2989823;767;True;197;22983893981;7687.376135978619;46;95;95;12.908275033173183;46;9;334;1.6954314720812182;21.762387357932255
1081085;765;True;150;8216025965;7599.796468362802;87;1;1;12.891737562740587;87;7;258;1.72;20.255624891826585
756087;375;True;67;5734125917;7583.949885396786;34;3;3;12.888725024519303;34;12;126;1.8805970149253732;19.80751245168254
2504929;225;True;88;18997161173;7583.912028245112;34;1;1;12.888725024519303;34;14;161;1.8295454545454546;21.52329993653825
2268927;767;True;90;17207332949;7583.907701305507;34;43;43;12.888725024519303;34;7;164;1.8222222222222222;21.353374935095957
3609243;667;True;140;27372165569;7583.907641851768;34;76;76;12.888725024519303;34;12;244;1.7428571428571429;22.105249899038142
3306239;767;True;113;25074208145;7583.90671243065;34;45;45;12.888725024519303;34;12;201;1.7787610619469028;21.899237418509358
4945135;239;True;100;37503439181;7583.906037145599;34;51;51;12.888725024519303;34;15;181;1.81;22.5037499278844
4003609;793;True;198;30079718549;7513.150896853314;128;1;1;12.875200092307978;128;10;336;1.696969696969697;22.177424857211122
1095839;159;True;138;8216025965;7497.475418378065;75;90;90;12.872187554086707;75;7;239;1.7318840579710144;20.275174900480465
2365209;793;True;165;17494428437;7396.567676260322;63;1;1;12.852637545432827;63;9;283;1.715151515151515;21.48118738100925
113383;743;True;89;827370449;7297.129631426228;51;69;69;12.833087536778962;51;7;158;1.7752808988764044;16.938337435817118
1096185;505;True;126;7998895637;7297.030735687863;51;1;1;12.833087536778962;51;11;220;1.746031746031746;20.294724909134345
