classe_mod;count;avg_first_descent;max_first_descent;no_descent_count;no_descent_ratio;avg_max_ratio;max_ratio;avg_final_ratio;max_final_ratio;min_final_ratio
175;4883;5.0;5;0;0.0;3.3750069686655952;3.388571428571429;0.9492213517879794;0.9542857142857143;0.949218927367056
335;4883;5.0;5;0;0.0;3.3750055520748887;3.382089552238806;0.9492211151108542;0.9522388059701492;0.949218952363865
431;4883;5.0;5;0;0.0;3.375005181831752;3.3805104408352666;0.47461034233208016;0.4756380510440835;0.47460946367898704
591;4883;5.0;5;0;0.0;3.3750048067880325;3.3790186125211505;0.4746103988142298;0.4754653130287648;0.4746094761767517
687;4883;5.0;5;0;0.0;3.375004654291451;3.378457059679767;0.9492204877042117;0.950509461426492;0.9492189273488931
847;4882;5.0;5;0;0.0;3.375004464575187;3.3778040141676504;0.9492206518502876;0.9504132231404959;0.9492189523845912
943;4882;5.0;5;0;0.0;3.3750043749222454;3.3775185577942737;0.15818965026132095;0.23741738688357905;1.4483932850021957e-05
39;4883;5.0;5;0;0.0;2.5312660895327497;2.58974358974359;0.4746128325965062;0.48717948717948717;0.4746094730624277
219;4883;5.0;5;0;0.0;2.5312571401833197;2.5433789954337898;0.9492217635773684;0.954337899543379;0.9492189742462426
295;4883;5.0;5;0;0.0;2.5312555420604737;2.538983050847458;0.949221131947223;0.9525423728813559;0.9492189461148127
475;4883;5.0;5;0;0.0;2.5312556560741104;2.536842105263158;0.15821675723347664;0.23789473684210527;1.4483933355323405e-05
551;4883;5.0;5;0;0.0;2.531254690278721;2.5353901996370234;0.15822655052981482;0.23774954627949182;5.793573799048532e-05
731;4883;5.0;5;0;0.0;2.5312551395877176;2.5348837209302326;0.9492209192083451;0.9507523939808481;0.9492189742232793
807;4883;5.0;5;0;0.0;2.5312543279570527;2.5340768277571253;0.9492206101322253;0.9504337050805453;0.9492189460947305
987;4882;5.0;5;0;0.0;2.531254852012008;2.5339412360688955;0.4746103989172376;0.475177304964539;0.474609487128863
199;4883;5.0;5;0;0.0;2.2500034837220597;2.2562814070351758;0.47461091545834533;0.47738693467336685;0.474609485560872
455;4883;5.0;5;0;0.0;2.2500026901276984;2.2527472527472527;0.9492211290816779;0.9516483516483516;0.9492189711104217
711;4883;5.0;5;0;0.0;2.250002432340268;2.251758087201125;0.15821372590930272;0.23769338959212377;3.62099743995481e-06
