pattern;length;sum_v2;modulus_power;modulus;num_odd_classes;solutions_count;density_among_odds;first_solution;solutions_preview
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;65;65;66;73786976294838206464;36893488147419103232;1;2.710505431213761e-20;73786976294838206463;73786976294838206463
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;66;66;67;147573952589676412928;73786976294838206464;1;1.3552527156068805e-20;147573952589676412927;147573952589676412927
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;67;67;68;295147905179352825856;147573952589676412928;1;6.776263578034403e-21;295147905179352825855;295147905179352825855
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;68;68;69;590295810358705651712;295147905179352825856;1;3.3881317890172014e-21;590295810358705651711;590295810358705651711
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;69;69;70;1180591620717411303424;590295810358705651712;1;1.6940658945086007e-21;1180591620717411303423;1180591620717411303423
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;70;70;71;2361183241434822606848;1180591620717411303424;1;8.470329472543003e-22;2361183241434822606847;2361183241434822606847
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;71;71;72;4722366482869645213696;2361183241434822606848;1;4.235164736271502e-22;4722366482869645213695;4722366482869645213695
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;72;72;73;9444732965739290427392;4722366482869645213696;1;2.117582368135751e-22;9444732965739290427391;9444732965739290427391
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;73;73;74;18889465931478580854784;9444732965739290427392;1;1.0587911840678754e-22;18889465931478580854783;18889465931478580854783
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;74;74;75;37778931862957161709568;18889465931478580854784;1;5.293955920339377e-23;37778931862957161709567;37778931862957161709567
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;75;75;76;75557863725914323419136;37778931862957161709568;1;2.6469779601696886e-23;75557863725914323419135;75557863725914323419135
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;76;76;77;151115727451828646838272;75557863725914323419136;1;1.3234889800848443e-23;151115727451828646838271;151115727451828646838271
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;77;77;78;302231454903657293676544;151115727451828646838272;1;6.617444900424222e-24;302231454903657293676543;302231454903657293676543
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;78;78;79;604462909807314587353088;302231454903657293676544;1;3.308722450212111e-24;604462909807314587353087;604462909807314587353087
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;79;79;80;1208925819614629174706176;604462909807314587353088;1;1.6543612251060553e-24;1208925819614629174706175;1208925819614629174706175
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;80;80;81;2417851639229258349412352;1208925819614629174706176;1;8.271806125530277e-25;2417851639229258349412351;2417851639229258349412351
1,1,2,1,1,1,1,1;8;9;10;1024;512;1;0.001953125;871;871
1,1,1,1,1,1,1,2;8;9;10;1024;512;1;0.001953125;767;767
1,1,1,1,1,1,1,1,2;9;10;11;2048;1024;1;0.0009765625;511;511
1,1,1,1,1,1,1,1,1,2;10;11;12;4096;2048;1;0.00048828125;3071;3071
1,2,1,1,1,1,1,2;8;10;11;2048;1024;1;0.0009765625;1307;1307
1,2,1,1,1,2,1,1;8;10;11;2048;1024;1;0.0009765625;667;667
1,1,1,2,1,1,1,2;8;10;11;2048;1024;1;0.0009765625;751;751
1,1,1,1,2,1,1,1,1;9;10;11;2048;1024;1;0.0009765625;159;159
1,1,2,1,1,1,1,1,1,2;10;12;13;8192;4096;1;0.000244140625;1895;1895
1,1,1,1,1,1,1,2,3;9;12;13;8192;4096;1;0.000244140625;6911;6911
1,1,1,1,1,1,1,1,2,3;10;13;14;16384;8192;1;0.0001220703125;4607;4607
1,2,1,1,1,1,1,2,1,1;10;12;13;8192;4096;1;0.000244140625;1307;1307
1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1;36;41;42;4398046511104;2199023255552;1;4.547473508864641e-13;3041127;3041127
1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,4,1,2,3,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1;71;96;97;158456325028528675187087900672;79228162514264337593543950336;1;1.262177448353619e-29;4637979;4637979
