start;log_step;log_value;h_step;h_value;loss;initial_debt;initial_debt_step;debt_at_log_descent;debt_step_at_log_descent;log_delta_at_log_descent;h_delta_at_log_descent;ratio_at_log_descent;v2_at_log_descent
4864887;3;4104749;92;137088385;89;9.362412549759767;69;9.797000057692486;80;-0.16989889214586107;0.04739486182050001;0.8437501220480558;3
2052377;1;1539283;89;137088385;88;10.797000057692486;80;11.797000057692486;80;-0.2876819100384882;0.21231808996151358;0.7500001218099793;2
2064431;13;1569449;101;4368013;88;6.212037556971325;79;9.042112555529016;77;-0.2741300413024259;1.140907457976418;0.7602332071161497;3
2162171;6;1539281;94;137088385;88;10.532337551202076;71;11.797000057692486;80;-0.3397973852365066;0.29253386800869663;0.7119145525492665;3
2432443;4;1539281;92;137088385;88;10.362412549759767;69;11.797000057692486;80;-0.4575806778362512;0.2597130761301081;0.6328127730022862;3
2736499;2;1539281;90;137088385;88;10.212037556971325;79;11.797000057692486;80;-0.5753639418866783;0.21711730847390243;0.5625001141970086;3
2752575;14;1569449;102;4368013;88;5.797000057692486;80;9.042112555529016;77;-0.561812234852944;1.060744014065321;0.570174836289656;3
4104753;1;3078565;89;137088385;88;9.797000057692486;80;10.797000057692486;80;-0.28768199124511185;0.2123180087548846;0.7500000609050045;2
4993319;5;4739753;93;26382587;88;7.587975038942432;54;9.797000057692486;80;-0.05211579427826507;1.0523967150967621;0.949218946356121;3
769641;1;577231;88;137088385;87;12.797000057692486;80;13.797000057692486;80;-0.28768163934951474;0.21231836065048526;0.7500003248267699;2
1376287;15;1177087;102;4368013;87;6.797000057692486;80;9.457150054807869;76;-0.15634655105978368;1.1737284474979077;0.8552627467962715;2
1441447;8;1154461;95;137088385;87;11.117300051923237;72;12.797000057692486;80;-0.22201390177974467;0.6178361011048814;0.800904230263062;2
1859241;1;1394431;88;41395901;87;8.172937539663579;55;8.797000057692486;80;-0.28768189316716786;0.024349365847285753;0.7500001344634719;2
2736503;3;2308925;90;137088385;87;10.212037556971325;79;11.797000057692486;80;-0.16989877964106093;0.6225824707195216;0.8437502169739993;3
3794537;1;2845903;88;21121493;87;5.02256254687515;65;5.797000057692486;80;-0.28768198460619665;0.09953677080246948;0.7500000658841909;2
4104755;2;2308925;89;137088385;87;9.797000057692486;80;11.797000057692486;80;-0.5753640095591823;0.42463599044081946;0.5625000761312186;3
4213113;1;3159835;88;187609507;87;8.797000057692486;80;9.797000057692486;80;-0.2876819933337238;0.2123180066662762;0.7500000593385461;2
4893471;17;4708349;104;4368013;87;3.8135375281250887;39;7.457150054807869;76;-0.03856455184501861;1.7832417114963697;0.962169592912679;5
912167;5;865847;91;137088385;86;11.797000057692486;80;13.212037556971325;79;-0.052114868757305643;0.6554038808821154;0.9492198248785584;3
1026187;3;432923;89;137088385;86;11.797000057692486;80;14.212037556971325;79;-0.8630453872420212;0.3444733623973981;0.4218753502042025;3
1216223;6;865847;92;137088385;86;11.362412549759767;69;13.212037556971325;79;-0.33979721528166884;0.5850152883241115;0.7119146735425986;3
1368251;4;865847;90;137088385;86;11.212037556971325;79;13.212037556971325;79;-0.45758034229556266;0.5424196577044391;0.6328129853367548;3
1539283;2;865847;88;137088385;86;11.797000057692486;80;13.212037556971325;79;-0.5753637839852281;0.13215496565419116;0.5625002030165993;3
1824335;5;865847;91;137088385;86;10.797000057692486;80;13.212037556971325;79;-0.7452625974623412;0.4622561521770798;0.474609652284257;3
2052375;3;432923;89;137088385;86;10.797000057692486;80;14.212037556971325;79;-1.5561930550424776;0.15132569459694167;0.21093757232474572;5
3718483;2;2091647;88;41395901;86;7.172937539663579;55;8.797000057692486;80;-0.5753639954997549;0.23666726351470047;0.5625000840396474;3
4644975;13;1765631;99;4368013;86;5.042112555529016;77;8.872187554086707;75;-0.96727785654301;0.9477596427358357;0.38011636230550216;3
3963487;5;3762217;90;12409805;85;2.4736875252404644;35;3.2120375569713246;79;-0.05211578206104939;0.3170592338043825;0.9492189579529339;4
4458923;3;3762217;88;12409805;85;2.3037625237981487;33;3.2120375569713246;79;-0.16989884575110814;0.2842386708354816;0.8437501611936336;2
2972615;5;2821663;89;12409805;84;2.888725024519303;34;3.797000057692486;80;-0.05211560935978099;0.4020219072268105;0.9492191218842669;2
3131643;10;2821663;94;12409805;84;2.8135375281250887;39;3.797000057692486;80;-0.10423135950973617;0.3874999052739625;0.9010168144964161;2
3523099;8;2821663;92;12409805;84;2.643612526682773;37;3.797000057692486;80;-0.2220145725667706;0.3546791929380859;0.8009036930270764;2
4010209;1;3007657;85;846573301;84;10.797000057692486;80;11.797000057692486;80;-0.2876819893305971;0.21231801066940292;0.7500000623408904;2
810815;10;730559;93;137088385;83;11.947375050480929;70;13.457150054807869;76;-0.1042299201258583;0.6506575820376135;0.9010181114064244;3
3168559;7;1691807;90;79366247;83;11.117300051923237;72;12.627075056250177;78;-0.6274797219224197;0.12740778024105026;0.5339357733278756;3
4752839;5;4511485;88;846573301;83;10.532337551202076;71;11.212037556971325;79;-0.05211575610464436;0.28773424677997994;0.949218982591247;2
3012715;3;2541979;85;2484383;82;4.813537528125089;39;6.212037556971325;79;-0.16989875404321886;0.5293512603798973;0.8437502385721849;2
3946923;3;3330217;84;8679331;81;4.529325012980809;18;5.212037556971325;79;-0.16989882096859787;0.17145745102666154;0.843750182103882;2
2529691;11;1709471;89;21121493;78;5.607525047596297;66;8.287225053365546;74;-0.3919131949643049;0.9479368079203176;0.6757627710261846;3
2845903;9;1709471;87;21121493;78;5.797000057692486;80;8.287225053365546;74;-0.5096964502346637;0.7354160476018663;0.6006778867726693;3
1583007;13;1203455;90;2478217;77;5.797000057692486;80;6.777450049038606;68;-0.27412961627382515;0.21609537939923484;0.7602335302370741;3
2134427;8;1709471;85;56323981;77;6.797000057692486;80;8.287225053365546;74;-0.22201426065543473;0.5230982371810953;0.8009039428380544;3
