T;src;dst;count;weight_sum;source_count;normalized_weight
12;v2=0|odd=1|h=3;v2=0|odd=1|h=0;28;8.15625;1024;0.007965087890625
12;v2=0|odd=3|h=0;v2=0|odd=3|h=1;26;4.0;1024;0.00390625
12;v2=0|odd=3|h=1;v2=0|odd=3|h=2;26;4.0;1024;0.00390625
12;v2=0|odd=3|h=2;v2=0|odd=3|h=3;26;4.0;1024;0.00390625
12;v2=0|odd=3|h=3;v2=0|odd=3|h=0;26;4.0;1024;0.00390625
12;v2=0|odd=1|h=0;v2=0|odd=3|h=1;22;5.75;1024;0.005615234375
12;v2=0|odd=1|h=1;v2=0|odd=3|h=2;22;5.75;1024;0.005615234375
12;v2=0|odd=1|h=2;v2=0|odd=3|h=3;22;5.75;1024;0.005615234375
12;v2=0|odd=1|h=3;v2=0|odd=3|h=0;22;5.75;1024;0.005615234375
12;v2=2|odd=3|h=0;v2=1|odd=1|h=1;19;6.625;256;0.02587890625
12;v2=2|odd=3|h=1;v2=1|odd=1|h=2;19;6.625;256;0.02587890625
12;v2=2|odd=3|h=2;v2=1|odd=1|h=3;19;6.625;256;0.02587890625
12;v2=2|odd=3|h=3;v2=1|odd=1|h=0;19;6.625;256;0.02587890625
12;v2=2|odd=3|h=0;v2=1|odd=3|h=1;17;6.0;256;0.0234375
12;v2=2|odd=3|h=1;v2=1|odd=3|h=2;17;6.0;256;0.0234375
12;v2=2|odd=3|h=2;v2=1|odd=3|h=3;17;6.0;256;0.0234375
12;v2=2|odd=3|h=3;v2=1|odd=3|h=0;17;6.0;256;0.0234375
12;v2=0|odd=1|h=0;v2=1|odd=1|h=1;14;3.703125;1024;0.0036163330078125
12;v2=0|odd=1|h=1;v2=1|odd=1|h=2;14;3.703125;1024;0.0036163330078125
12;v2=0|odd=1|h=2;v2=1|odd=1|h=3;14;3.703125;1024;0.0036163330078125
12;v2=0|odd=1|h=3;v2=1|odd=1|h=0;14;3.703125;1024;0.0036163330078125
12;v2=0|odd=3|h=0;v2=1|odd=1|h=1;14;1.328125;1024;0.0012969970703125
12;v2=0|odd=3|h=1;v2=1|odd=1|h=2;14;1.328125;1024;0.0012969970703125
12;v2=0|odd=3|h=2;v2=1|odd=1|h=3;14;1.328125;1024;0.0012969970703125
12;v2=0|odd=3|h=3;v2=1|odd=1|h=0;14;1.328125;1024;0.0012969970703125
12;v2=0|odd=3|h=0;v2=1|odd=3|h=1;13;2.109375;1024;0.0020599365234375
12;v2=0|odd=3|h=1;v2=1|odd=3|h=2;13;2.109375;1024;0.0020599365234375
12;v2=0|odd=3|h=2;v2=1|odd=3|h=3;13;2.109375;1024;0.0020599365234375
12;v2=0|odd=3|h=3;v2=1|odd=3|h=0;13;2.109375;1024;0.0020599365234375
12;v2=0|odd=1|h=0;v2=1|odd=3|h=1;13;3.25;1024;0.003173828125
12;v2=0|odd=1|h=1;v2=1|odd=3|h=2;13;3.25;1024;0.003173828125
12;v2=0|odd=1|h=2;v2=1|odd=3|h=3;13;3.25;1024;0.003173828125
12;v2=0|odd=1|h=3;v2=1|odd=3|h=0;13;3.25;1024;0.003173828125
12;v2=2|odd=3|h=0;v2=2|odd=1|h=1;10;4.0;256;0.015625
12;v2=2|odd=3|h=1;v2=2|odd=1|h=2;10;4.0;256;0.015625
12;v2=2|odd=3|h=2;v2=2|odd=1|h=3;10;4.0;256;0.015625
12;v2=2|odd=3|h=3;v2=2|odd=1|h=0;10;4.0;256;0.015625
12;v2=0|odd=3|h=0;v2=2|odd=1|h=1;8;1.265625;1024;0.0012359619140625
12;v2=0|odd=3|h=1;v2=2|odd=1|h=2;8;1.265625;1024;0.0012359619140625
12;v2=0|odd=3|h=2;v2=2|odd=1|h=3;8;1.265625;1024;0.0012359619140625
12;v2=0|odd=3|h=3;v2=2|odd=1|h=0;8;1.265625;1024;0.0012359619140625
12;v2=2|odd=3|h=0;v2=2|odd=3|h=1;8;2.75;256;0.0107421875
12;v2=2|odd=3|h=1;v2=2|odd=3|h=2;8;2.75;256;0.0107421875
12;v2=2|odd=3|h=2;v2=2|odd=3|h=3;8;2.75;256;0.0107421875
12;v2=2|odd=3|h=3;v2=2|odd=3|h=0;8;2.75;256;0.0107421875
12;v2=0|odd=1|h=0;v2=2|odd=3|h=1;7;3.25;1024;0.003173828125
12;v2=0|odd=1|h=1;v2=2|odd=3|h=2;7;3.25;1024;0.003173828125
