classe_mod;count;avg_delta;avg_ratio;positive_ratio;negative_ratio;avg_v2;min_v2;max_v2;max_delta;min_delta;max_ratio;min_ratio
599;4883;0.40546578070728284;1.5000010089603597;1.0;0.0;1.0;1;1;0.4060214363561707;0.40546517477793564;1.5008347245409015;1.50000010000466
603;4883;0.40546577972584374;1.5000010074875307;1.0;0.0;1.0;1;1;0.40601774697273996;0.40546517477788235;1.5008291873963515;1.5000001000045802
607;4883;0.40546577875509243;1.5000010060307434;1.0;0.0;1.0;1;1;0.40601410620045986;0.40546517477782906;1.5008237232289952;1.5000001000045002
611;4883;0.4054657777948218;1.5000010045896888;1.0;0.0;1.0;1;1;0.406010513084869;0.40546517477777577;1.5008183306055647;1.5000001000044203
615;4883;0.4054657768448406;1.5000010031640805;1.0;0.0;1.0;1;1;0.4060069666963342;0.4054651747777225;1.5008130081300812;1.5000001000043401
619;4883;0.40546577590495636;1.5000010017536296;1.0;0.0;1.0;1;1;0.406003466129242;0.4054651747776692;1.5008077544426495;1.5000001000042602
623;4883;0.4054657749749876;1.5000010003580644;1.0;0.0;1.0;1;1;0.40600001050123424;0.4054651747776141;1.5008025682182986;1.5000001000041803
627;4883;0.4054657740547518;1.5000009989771046;1.0;0.0;1.0;1;1;0.4059965989524583;0.4054651747775626;1.5007974481658692;1.5000001000041001
631;4883;0.4054657731440726;1.5000009976104898;1.0;0.0;1.0;1;1;0.4059932306448655;0.4054651747775093;1.5007923930269413;1.5000001000040202
635;4883;0.4054657722427796;1.5000009962579683;1.0;0.0;1.0;1;1;0.4059899047615101;0.405465174777456;1.500787401574803;1.5000001000039402
639;4883;0.4054657713507054;1.5000009949192872;1.0;0.0;1.0;1;1;0.40598662050590395;0.40546517477740274;1.5007824726134584;1.50000010000386
643;4883;0.40546577046768445;1.5000009935941978;1.0;0.0;1.0;1;1;0.405983377101367;0.40546517477734767;1.500777604976672;1.5000001000037801
647;4883;0.4054657695935598;1.500000992282463;1.0;0.0;1.0;1;1;0.4059801737904243;0.40546517477729616;1.500772797527048;1.5000001000037002
651;4883;0.4054657687281774;1.5000009909838454;1.0;0.0;1.0;1;1;0.4059770098342135;0.40546517477724286;1.5007680491551458;1.50000010000362
655;4883;0.405465767871383;1.5000009896981195;1.0;0.0;1.0;1;1;0.40597388451191474;0.4054651747771896;1.500763358778626;1.5000001000035401
659;4883;0.4054657670230278;1.5000009884250645;1.0;0.0;1.0;1;1;0.40597079712020534;0.4054651747771363;1.5007587253414265;1.5000001000034602
663;4883;0.40546576618296953;1.5000009871644653;1.0;0.0;1.0;1;1;0.4059677469727303;0.4054651747770812;1.5007541478129713;1.50000010000338
667;4883;0.4054657653510663;1.5000009859160999;1.0;0.0;1.0;1;1;0.40596473339959704;0.4054651747770279;1.5007496251874064;1.5000001000033
671;4883;0.4054657645271788;1.5000009846797737;1.0;0.0;1.0;1;1;0.40596175574688065;0.40546517477697464;1.5007451564828613;1.5000001000032201
675;4883;0.405465763711175;1.5000009834552752;1.0;0.0;1.0;1;1;0.40595881337615314;0.4054651747769231;1.5007407407407407;1.50000010000314
679;4883;0.40546576290292136;1.5000009822424203;1.0;0.0;1.0;1;1;0.4059559056640287;0.40546517477686805;1.5007363770250368;1.50000010000306
683;4883;0.4054657621022897;1.5000009810410044;1.0;0.0;1.0;1;1;0.40595303200171884;0.40546517477681476;1.500732064421669;1.5000001000029801
687;4883;0.40546576130915624;1.500000979850831;1.0;0.0;1.0;1;1;0.4059501917946111;0.40546517477676325;1.5007278020378456;1.5000001000029002
691;4883;0.40546576052339484;1.5000009786717288;1.0;0.0;1.0;1;1;0.4059473844618573;0.4054651747767082;1.5007235890014472;1.50000010000282
695;4883;0.40546575974488896;1.5000009775035226;1.0;0.0;1.0;1;1;0.40594460943598065;0.4054651747766549;1.5007194244604316;1.50000010000274
699;4883;0.4054657589735179;1.5000009763460287;1.0;0.0;1.0;1;1;0.40594186616248695;0.4054651747766016;1.5007153075822603;1.5000001000026602
703;4883;0.4054657582091697;1.5000009751990737;1.0;0.0;1.0;1;1;0.4059391540995021;0.4054651747765501;1.500711237553343;1.50000010000258
707;4883;0.4054657574517322;1.500000974062488;1.0;0.0;1.0;1;1;0.40593647271740974;0.4054651747764968;1.5007072135785007;1.5000001000025
711;4883;0.40546575670109475;1.5000009729361066;1.0;0.0;1.0;1;1;0.40593382149851287;0.40546517477644173;1.50070323488045;1.5000001000024201
715;4883;0.40546575595714984;1.5000009718197724;1.0;0.0;1.0;1;1;0.405931199936691;0.40546517477638844;1.5006993006993008;1.50000010000234
719;4883;0.4054657552197923;1.5000009707133322;1.0;0.0;1.0;1;1;0.4059286075370876;0.40546517477633515;1.5006954102920724;1.50000010000226
723;4883;0.40546575448892125;1.5000009696166219;1.0;0.0;1.0;1;1;0.40592604381579545;0.40546517477628186;1.5006915629322268;1.50000010000218
727;4883;0.4054657537644363;1.5000009685294955;1.0;0.0;1.0;1;1;0.40592350829955137;0.40546517477622857;1.500687757909216;1.5000001000021
731;4883;0.4054657530462357;1.5000009674518051;1.0;0.0;1.0;1;1;0.4059210005254519;0.4054651747761753;1.5006839945280437;1.50000010000202
735;4883;0.4054657523342274;1.500000966383411;1.0;0.0;1.0;1;1;0.4059185200406663;0.405465174776122;1.5006802721088435;1.50000010000194
739;4883;0.4054657516283161;1.500000965324159;1.0;0.0;1.0;1;1;0.40591606640216593;0.4054651747760687;1.5006765899864682;1.5000001000018601
743;4883;0.4054657509284072;1.500000964273929;1.0;0.0;1.0;1;1;0.4059136391764602;0.4054651747760154;1.5006729475100942;1.50000010000178
747;4883;0.40546575023441417;1.500000963232575;1.0;0.0;1.0;1;1;0.4059112379393426;0.4054651747759621;1.500669344042838;1.5000001000017
751;4883;0.40546574954624603;1.5000009621999597;1.0;0.0;1.0;1;1;0.40590886227564216;0.4054651747759088;1.5006657789613849;1.50000010000162
755;4883;0.40546574886381725;1.5000009611759582;1.0;0.0;1.0;1;1;0.40590651177898174;0.40546517477585553;1.5006622516556292;1.50000010000154
759;4883;0.40546574818704223;1.5000009601604436;1.0;0.0;1.0;1;1;0.40590418605155154;0.40546517477580224;1.5006587615283267;1.50000010000146
763;4883;0.4054657475158386;1.5000009591532957;1.0;0.0;1.0;1;1;0.40590188470388355;0.40546517477574895;1.5006553079947575;1.50000010000138
767;4883;0.4054657468501253;1.5000009581543838;1.0;0.0;1.0;1;1;0.4058996073546268;0.4054651747756939;1.5006518904823989;1.5000001000013
771;4883;0.4054657461898241;1.5000009571635933;1.0;0.0;1.0;1;1;0.4058973536303476;0.40546517477564237;1.5006485084306096;1.50000010000122
775;4883;0.4054657455348546;1.5000009561808048;1.0;0.0;1.0;1;1;0.4058951231653172;0.4054651747755891;1.5006451612903227;1.50000010000114
779;4883;0.4054657448851405;1.50000095520591;1.0;0.0;1.0;1;1;0.4058929156013198;0.4054651747755358;1.5006418485237485;1.50000010000106
783;4883;0.40546574424060733;1.5000009542387966;1.0;0.0;1.0;1;1;0.4058907305874566;0.4054651747754825;1.500638569604087;1.50000010000098
787;4883;0.4054657436011792;1.500000953279336;1.0;0.0;1.0;1;1;0.4058885677799591;0.4054651747754292;1.5006353240152477;1.5000001000009
791;4883;0.40546574296679133;1.5000009523274338;1.0;0.0;1.0;1;1;0.4058864268420139;0.4054651747753759;1.5006321112515804;1.50000010000082
795;4883;0.4054657423373639;1.5000009513829877;1.0;0.0;1.0;1;1;0.40588430744358384;0.40546517477532085;1.5006289308176102;1.50000010000074
799;4883;0.40546574171283223;1.5000009504458909;1.0;0.0;1.0;1;1;0.4058822092612395;0.40546517477526933;1.5006257822277846;1.50000010000066
803;4883;0.4054657410931303;1.500000949516038;1.0;0.0;1.0;1;1;0.40588013197799366;0.40546517477521604;1.5006226650062267;1.50000010000058
807;4883;0.4054657404781868;1.5000009485933248;1.0;0.0;1.0;1;1;0.4058780752831428;0.405465174775161;1.500619578686493;1.5000001000005
811;4883;0.405465739867942;1.5000009476776612;1.0;0.0;1.0;1;1;0.40587603887211365;0.40546517477510946;1.500616522811344;1.50000010000042
815;4883;0.405465739262326;1.5000009467689541;1.0;0.0;1.0;1;1;0.40587402244630955;0.40546517477505617;1.5006134969325153;1.50000010000034
819;4883;0.40546573866128016;1.5000009458670989;1.0;0.0;1.0;1;1;0.40587202571296466;0.4054651747750029;1.5006105006105006;1.50000010000026
823;4883;0.40546573806474134;1.5000009449720133;1.0;0.0;1.0;1;1;0.4058700483850082;0.4054651747749478;1.5006075334143378;1.50000010000018
827;4883;0.4054657374726481;1.5000009440835975;1.0;0.0;1.0;1;1;0.40586809018091596;0.4054651747748945;1.5006045949214026;1.5000001000001
831;4883;0.40546573688494225;1.5000009432017667;1.0;0.0;1.0;1;1;0.405866150824588;0.40546517477484123;1.5006016847172081;1.50000010000002
835;4882;0.4054657364165851;1.500000942498969;1.0;0.0;1.0;1;1;0.4058642300452133;0.40546517478844457;1.5005988023952095;1.5000001000204242
839;4882;0.40546573583736034;1.5000009416298692;1.0;0.0;1.0;1;1;0.40586232757714136;0.4054651747883913;1.500595947556615;1.5000001000203442
843;4882;0.40546573526235347;1.5000009407670962;1.0;0.0;1.0;1;1;0.40586044315976544;0.405465174788338;1.5005931198102016;1.500000100020264
847;4882;0.405465734691507;1.5000009399105638;1.0;0.0;1.0;1;1;0.40585857653739943;0.4054651747882847;1.500590318772137;1.5000001000201841
851;4882;0.40546573412476766;1.5000009390602056;1.0;0.0;1.0;1;1;0.4058567274591649;0.4054651747882314;1.500587544065805;1.500000100020104
855;4882;0.4054657335620819;1.5000009382159218;1.0;0.0;1.0;1;1;0.40585489567887656;0.4054651747881799;1.5005847953216374;1.500000100020024
859;4882;0.4054657330033987;1.5000009373776468;1.0;0.0;1.0;1;1;0.4058530809549321;0.4054651747881248;1.5005820721769498;1.5000001000199439
863;4882;0.40546573244866657;1.500000936545304;1.0;0.0;1.0;1;1;0.4058512830502101;0.40546517478807154;1.5005793742757823;1.500000100019864
867;4882;0.40546573189783314;1.5000009357188118;1.0;0.0;1.0;1;1;0.40584950173196344;0.40546517478801825;1.5005767012687428;1.500000100019784
871;4882;0.4054657313508505;1.5000009348980994;1.0;0.0;1.0;1;1;0.4058477367717188;0.40546517478796495;1.5005740528128588;1.5000001000197039
875;4882;0.40546573080767095;1.5000009340830927;1.0;0.0;1.0;1;1;0.4058459879451819;0.40546517478791166;1.5005714285714287;1.500000100019624
879;4882;0.4054657302682462;1.5000009332737239;1.0;0.0;1.0;1;1;0.4058442550321377;0.4054651747878584;1.5005688282138794;1.5000001000195438
883;4882;0.40546572973252765;1.5000009324699206;1.0;0.0;1.0;1;1;0.4058425378163628;0.4054651747878051;1.5005662514156286;1.5000001000194638
887;4882;0.405465729200473;1.5000009316716059;1.0;0.0;1.0;1;1;0.4058408360855328;0.40546517478775;1.5005636978579482;1.5000001000193837
891;4882;0.40546572867203307;1.5000009308787199;1.0;0.0;1.0;1;1;0.40583914963113443;0.4054651747876967;1.5005611672278338;1.5000001000193037
895;4882;0.40546572814716597;1.5000009300912016;1.0;0.0;1.0;1;1;0.40583747824838223;0.40546517478764343;1.500558659217877;1.5000001000192238
