ANALISI PEGGIORAMENTI LAMBDA=0.45
========================================================================================================================

LIMIT = 5000000
MAX_BLOCK_STEPS = 300
DEBT_LOOKAHEAD = 80
LAMBDA = 0.45

Peggioramenti trovati: 129
Loss medio: 47.031008
Initial debt medio: 6.462500
Future debt at log step medio: 8.033661
Ratio v2=1 medio fino a H descent: 0.587405

Top 30 per loss
------------------------------------------------------------------------------------------------------------------------
n=   3378047 | log_step=  34 | h_step= 139 | loss= 105 | init_debt=8.797000 | debt_log=12.797000 | debt_delta_log=+4.000000 | h_delta_log=+1.722871 | max_ratio=8904.470 | ratio_1=0.690647
n=   2844095 | log_step=  15 | h_step= 107 | loss=  92 | init_debt=8.797000 | debt_log=11.362413 | debt_delta_log=+2.565412 | h_delta_log=+0.304941 | max_ratio=2888.802 | ratio_1=0.682243
n=   4213113 | log_step=   1 | h_step=  90 | loss=  89 | init_debt=8.797000 | debt_log=9.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=1000.793 | ratio_1=0.644444

Top 30 per future debt al log-step
------------------------------------------------------------------------------------------------------------------------
n=   1026187 | log_step=   3 | h_step=  89 | loss=  86 | init_debt=11.797000 | debt_log=14.212038 | debt_delta_log=+2.415037 | h_delta_log=+0.223721 | max_ratio=8006.363 | ratio_1=0.662921
n=    769641 | log_step=   1 | h_step=  88 | loss=  87 | init_debt=12.797000 | debt_log=13.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=10675.141 | ratio_1=0.670455
n=    810815 | log_step=  10 | h_step=  93 | loss=  83 | init_debt=11.947375 | debt_log=13.457150 | debt_delta_log=+1.509775 | h_delta_log=+0.575169 | max_ratio=10133.046 | ratio_1=0.677419
n=    912167 | log_step=   5 | h_step=  91 | loss=  86 | init_debt=11.797000 | debt_log=13.212038 | debt_delta_log=+1.415037 | h_delta_log=+0.584652 | max_ratio=9007.151 | ratio_1=0.670330
n=   1216223 | log_step=   6 | h_step=  92 | loss=  86 | init_debt=11.362413 | debt_log=13.212038 | debt_delta_log=+1.849625 | h_delta_log=+0.492534 | max_ratio=6755.361 | ratio_1=0.673913
n=   1368251 | log_step=   4 | h_step=  90 | loss=  86 | init_debt=11.212038 | debt_log=13.212038 | debt_delta_log=+2.000000 | h_delta_log=+0.442420 | max_ratio=6004.765 | ratio_1=0.666667
n=   1539283 | log_step=   2 | h_step=  88 | loss=  86 | init_debt=11.797000 | debt_log=13.212038 | debt_delta_log=+1.415037 | h_delta_log=+0.061403 | max_ratio=5337.567 | ratio_1=0.670455
n=   1824335 | log_step=   5 | h_step=  91 | loss=  86 | init_debt=10.797000 | debt_log=13.212038 | debt_delta_log=+2.415037 | h_delta_log=+0.341504 | max_ratio=4503.573 | ratio_1=0.670330
n=   3378047 | log_step=  34 | h_step= 139 | loss= 105 | init_debt=8.797000 | debt_log=12.797000 | debt_delta_log=+4.000000 | h_delta_log=+1.722871 | max_ratio=8904.470 | ratio_1=0.690647
n=   3800303 | log_step=  32 | h_step= 137 | loss= 105 | init_debt=8.627075 | debt_log=12.797000 | debt_delta_log=+4.169925 | h_delta_log=+1.681554 | max_ratio=7915.084 | ratio_1=0.686131
