start;entry_step;max_value;max_value_step;max_ratio;max_debt;max_debt_step;total_v2_pre_trunk;avg_v2_pre_trunk;final_surplus_at_trunk;final_debt_at_trunk;count_1;count_2;count_3;count_4_plus;ratio_1;ratio_2;ratio_3;ratio_4_plus;max_run_1;first_positive_surplus_step;first_descent_step;mod_1024;mod_4096;mod_65536;prefix_80_v2;is_top_member
4104753;82;8216025965;82;2001.5883939910636;10.966925059134809;82;119;1.451219512195122;-10.966925059134809;10.966925059134809;56;19;4;3;0.6829268292682927;0.23170731707317074;0.04878048780487805;0.036585365853658534;7;1;1;561;561;41521;2,4,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1;False
4104755;82;8216025965;82;2001.5874187375373;10.966925059134809;82;119;1.451219512195122;-10.966925059134809;10.966925059134809;56;18;6;2;0.6829268292682927;0.21951219512195122;0.07317073170731707;0.024390243902439025;7;2;2;563;563;41523;1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1;False
4160767;70;8216025965;70;1974.6421669370095;10.947375050480929;70;100;1.4285714285714286;-10.947375050480929;10.947375050480929;48;17;3;2;0.6857142857142857;0.24285714285714285;0.04285714285714286;0.02857142857142857;7;;;255;3327;31999;1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;False
4266123;99;8216025965;99;1925.876484339528;10.911287571394439;99;146;1.4747474747474747;-10.911287571394439;10.911287571394439;66;23;7;3;0.6666666666666666;0.23232323232323232;0.0707070707070707;0.030303030303030304;7;3;3;139;2187;6283;1,2,3,1,2,1,1,2,1,3,4,2,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2;False
4266143;99;8216025965;99;1925.8674556853814;10.911287571394439;99;146;1.4747474747474747;-10.911287571394439;10.911287571394439;69;20;6;4;0.696969696969697;0.20202020202020202;0.06060606060606061;0.04040404040404041;7;14;14;159;2207;6303;1,1,1,1,2,1,1,1,1,1,1,5,2,5,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2;False
4324341;87;8216025965;87;1899.9486777291615;10.891737562740587;87;127;1.4597701149425288;-10.891737562740587;10.891737562740587;60;19;5;3;0.6896551724137931;0.21839080459770116;0.05747126436781609;0.034482758620689655;7;1;1;1013;3061;64501;5,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1;False
4324343;87;8216025965;87;1899.947799006693;10.891737562740587;87;127;1.4597701149425288;-10.891737562740587;10.891737562740587;58;21;6;2;0.6666666666666666;0.2413793103448276;0.06896551724137931;0.022988505747126436;7;3;3;1015;3063;64503;1,1,3,2,1,3,2,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1;False
4383357;75;8216025965;75;1874.3684269841585;10.872187554086707;75;108;1.44;-10.872187554086707;10.872187554086707;51;18;4;2;0.68;0.24;0.05333333333333334;0.02666666666666667;7;1;1;637;637;57981;3,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;False
4555671;92;8216025965;92;1803.4721921315213;10.816550066346366;92;135;1.4673913043478262;-10.816550066346366;10.816550066346366;63;21;5;3;0.6847826086956522;0.22826086956521738;0.05434782608695652;0.03260869565217391;7;3;3;919;919;33687;1,1,6,2,2,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1;False
4555673;92;8216025965;92;1803.4714003836534;10.816550066346366;92;135;1.4673913043478262;-10.816550066346366;10.816550066346366;62;21;6;3;0.6739130434782609;0.22826086956521738;0.06521739130434782;0.03260869565217391;7;1;1;921;921;33689;2,1,3,4,2,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1;False
4555681;92;8216025965;92;1803.4682333991339;10.816550066346366;92;135;1.4673913043478262;-10.816550066346366;10.816550066346366;61;22;7;2;0.6630434782608695;0.2391304347826087;0.07608695652173914;0.021739130434782608;7;1;1;929;929;33697;2,2,1,2,3,3,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1;False
