start;log_step;h_step;loss;max_value;max_value_step;max_ratio;ratio_1_until_h;avg_v2_until_h;count_1_until_h;count_2_until_h;count_3_until_h;count_4_plus_until_h;initial_dmax;initial_cmax;initial_pmax;initial_pavg;log_value;log_delta_at_log_step;dmax_at_log_step;dmax_delta_at_log_step;cmax_at_log_step;cmax_delta_at_log_step;pmax_at_log_step;pmax_delta_at_log_step;pavg_at_log_step;h_delta_at_log_step;local_debt_at_log_step;classification
13251305;1;93;92;35364774545;81;2668.776738970237;0.6021505376344086;1.5591397849462365;56;28;6;3;10.947375050480929;0.4150374992788439;0.782608695652174;0.6375;9938479;-0.2876820472970252;11.797000057692486;0.8496250072115572;0.0;-0.4150374992788439;1.0;0.21739130434782605;0.65;0.027881471004924663;-0.4150374992788439;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
15733191;5;97;92;53141538293;85;3377.6707022116493;0.6185567010309279;1.5670103092783505;60;25;7;5;8.908275033173183;0.9052624949519075;1.0;0.625;14934241;-0.05211592711658497;11.797000057692486;2.888725024519303;0.8300749985576878;-0.07518749639421962;0.7857142857142857;-0.2142857142857143;0.6625;0.6946969903549309;-0.07518749639421962;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
912167;5;96;91;8216025965;84;9007.151064443244;0.6458333333333334;1.53125;62;23;8;3;11.797000057692486;0.3202999942307514;1.0;0.6875;865847;-0.052114868757305643;13.212037556971325;1.4150374992788386;0.24511249783653177;-0.07518749639421962;1.0;0.0;0.6875;0.3463512559325963;-0.07518749639421962;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
1216223;6;97;91;8216025965;85;6755.361446872818;0.6494845360824743;1.5360824742268042;63;22;9;3;11.362412549759767;0.7353374935095953;1.0;0.6875;865847;-0.33979721528166884;13.212037556971325;1.8496250072115572;0.24511249783653177;-0.49022499567306355;1.0;0.0;0.6875;0.19280453660775976;-0.49022499567306355;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
1368251;4;95;91;8216025965;83;6004.765181973191;0.6421052631578947;1.5368421052631578;61;23;8;3;11.212037556971325;0.9052624949519075;1.0;0.675;865847;-0.45758034229556266;13.212037556971325;2.0;0.24511249783653177;-0.6601499971153757;1.0;0.0;0.6875;0.12222415761790018;-0.6601499971153757;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
6935167;10;101;91;5936080241;97;855.9390481873039;0.6138613861386139;1.5544554455445545;62;28;8;3;6.212037556971325;0.26164996826912557;1.0;0.625;6248699;-0.10423185214666653;8.212037556971325;2.0;0.11127497548069698;-0.15037499278842859;1.0;0.0;0.625;0.4602793976369881;-0.15037499278843924;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
10402751;9;100;91;5936080241;96;570.6260046981803;0.61;1.56;61;28;8;3;5.6270750562501775;0.846612468990287;1.0;0.625;6248699;-0.5096970083190424;8.212037556971325;2.584962500721147;0.11127497548069698;-0.73533749350959;1.0;0.0;0.625;0.23615261668816956;-0.7353374935095953;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
13870335;10;101;91;5936080241;97;427.9694932386276;0.6138613861386139;1.5643564356435644;62;27;9;3;5.212037556971325;1.2616499682691256;1.0;0.625;6248699;-0.7973791048029266;8.212037556971325;3.0;0.11127497548069698;-1.1503749927884286;1.0;0.0;0.625;0.07713214498073029;-1.1503749927884392;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
13920959;29;120;91;42944173649;107;3084.8574188746625;0.6083333333333333;1.5583333333333333;73;31;14;2;8.042112555529016;0.03608747908647558;1.0;0.6375;13577063;-0.02501372140365632;11.627075056250177;3.5849625007211614;0.0;-0.03608747908647558;1.0;0.0;0.65;0.9798584031708621;-0.03608747908647558;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
14110887;17;108;91;42944173649;95;3043.336230316351;0.6111111111111112;1.5555555555555556;66;28;12;2;8.02256254687515;0.05563748774034849;1.0;0.6375;13577063;-0.03856480229877235;11.627075056250177;3.604512509375027;0.0;-0.05563748774034849;1.0;0.0;0.65;0.9723678249584466;-0.05563748774034849;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
14303407;5;96;91;42944173649;83;3002.3737455698492;0.6145833333333334;1.5520833333333333;59;25;10;2;10.212037556971325;0.07518749639421962;1.0;0.65;13577063;-0.05211593582895446;11.627075056250177;1.4150374992788528;0.0;-0.07518749639421962;1.0;0.0;0.65;0.34635018886094926;-0.07518749639421962;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
18561279;30;121;91;42944173649;108;2313.6430226063626;0.6198347107438017;1.56198347107438;75;29;14;3;7.6270750562501775;0.4511249783653142;1.0;0.6625;13577063;-0.31269581181397044;11.627075056250177;4.0;0.0;-0.4511249783653142;1.0;0.0;0.65;0.8208379375369894;-0.4511249783653142;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
15604127;8;98;90;5936080241;95;380.41732427581496;0.6122448979591837;1.5510204081632653;60;28;7;3;5.042112555529016;1.4315749697114484;1.0;0.6125;6248699;-0.9151621484700119;8.212037556971325;3.1699250014423086;0.11127497548069698;-1.3202999942307514;1.0;0.0;0.625;0.012025851760760986;-1.3202999942307514;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
810815;10;98;88;8216025965;86;10133.04633609393;0.6530612244897959;1.530612244897959;64;22;9;3;11.947375050480929;0.15037499278843924;1.0;0.6875;730559;-0.1042299201258583;13.457150054807869;1.50977500432694;0.0;-0.15037499278843924;1.0;0.0;0.6875;0.3230183308693384;-0.15037499278843924;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
