start;log_step;log_value;h_step;h_value;loss;initial_debt;initial_debt_step;future_debt_at_log_step;future_debt_step_at_log_step;future_debt_delta_at_log_step;log_delta_at_log_step;h_delta_at_log_step;local_debt_at_log_step;max_value;max_value_step;max_ratio;avg_v2_until_h;ratio_1_until_h;max_run_1_until_h;count_1_until_h;count_2_until_h;count_3_until_h;count_4_plus_until_h;prefix_100_v2
2052377;1;1539283;89;137088385;88;10.797000057692486;80;11.797000057692486;80;1.0;-0.2876819100384882;0.1623180899615118;-0.4150374992788439;8216025965;82;4003.1758127283633;1.5168539325842696;0.6629213483146067;7;59;20;7;3;2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6
2064431;13;1569449;101;4368013;88;6.212037556971325;79;9.042112555529016;77;2.8300749985576914;-0.2741300413024259;0.9994037080485352;-0.3954874906249728;827370449;90;400.77408690336466;1.5742574257425743;0.6534653465346535;8;66;24;5;6;1,1,1,2,2,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4,1,1,1,1,2,1,5,1,1,1,2,1,1,2,1,1,1,4,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,3,1,3,1,1,1,2,2,3
2162171;6;1539281;94;137088385;88;10.532337551202076;71;11.797000057692486;80;1.26466250649041;-0.3397973852365066;0.22930074268417788;-0.49022499567306355;8216025965;87;3799.8964767356515;1.5212765957446808;0.648936170212766;7;61;23;7;3;1,2,1,2,1,3,2,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6
2432443;4;1539281;92;137088385;88;10.362412549759767;69;11.797000057692486;80;1.4345875079327186;-0.4575806778362512;0.18798370073347215;-0.6601499971153757;8216025965;85;3377.6848892245366;1.5217391304347827;0.6521739130434783;7;60;22;7;3;1,2,1,3,2,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6
2752575;14;1569449;102;4368013;88;5.797000057692486;80;9.042112555529016;77;3.24511249783653;-0.561812234852944;0.8984883891734945;-0.8105249899038149;827370449;91;300.58052877759917;1.5784313725490196;0.6666666666666666;8;68;22;5;7;1,1,1,1,1,4,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4,1,1,1,1,2,1,5,1,1,1,2,1,1,2,1,1,1,4,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,3,1,3,1,1,1,2,2
4993319;5;4739753;93;26382587;88;7.587975038942432;54;9.797000057692486;80;2.2090250187500544;-0.05211579427826507;0.9419454641592594;-0.07518749639421962;4216452893;85;844.4188911223176;1.5591397849462365;0.6451612903225806;11;60;22;6;5;1,1,2,1,3,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,2,2,3,1,5,3,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,2,5,2,1,1,1,1,1,1,2,2,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,4,1,5
769641;1;577231;88;137088385;87;12.797000057692486;80;13.797000057692486;80;1.0;-0.28768163934951474;0.16231836065048527;-0.4150374992788439;8216025965;81;10675.140701963643;1.5;0.6704545454545454;7;59;20;6;3;2,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6
1376287;15;1177087;102;4368013;87;6.797000057692486;80;9.457150054807869;76;2.660149997115383;-0.15634655105978368;1.0407209476421386;-0.2255624891826571;827370449;91;601.1612759547972;1.5686274509803921;0.6568627450980392;8;67;24;5;6;1,1,1,1,2,2,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4,1,1,1,1,2,1,5,1,1,1,2,1,1,2,1,1,1,4,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,3,1,3,1,1,1,2,2
1441447;8;1154461;95;137088385;87;11.117300051923237;72;12.797000057692486;80;1.6797000057692486;-0.22201390177974467;0.5338511008164172;-0.3202999942307514;8216025965;88;5699.846033187485;1.5157894736842106;0.6526315789473685;7;62;23;7;3;1,1,2,1,2,1,3,2,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6
2736503;3;2308925;90;137088385;87;10.212037556971325;79;11.797000057692486;80;1.5849625007211614;-0.16989877964106093;0.5433343456834617;-0.24511249783653177;8216025965;83;3002.381493826245;1.5222222222222221;0.6666666666666666;7;60;19;8;3;1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6
