family_rank;family_id;members_count;nodes_count;max_common_value;min_common_value;common_span;max_avg_step;min_avg_step;steps_to_1;total_v2;avg_v2;final_surplus;max_debt_trunk;max_debt_trunk_step;trunk_starts_dissipative;max_value_inside_trunk;max_value_inside_trunk_step;max_ratio_inside_trunk;biggest_drop_ratio;biggest_drop_v2;biggest_drop_step;biggest_drop_from;biggest_drop_to;prefix_60_v2_trunk;surplus_per_step;nodes_per_member
218;1fcc479dc355;3;1;2504863;2504863;0;1.0;1.0;88;161;1.8295454545454546;21.52329993653825;12.793987519471216;27;False;17789272325;27;7101.894325158702;0.02343750000740262;7;33;1055369429;24735221;1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,2,4,1,1,7,5,1,1,1,3,3,2,1,1,1,1,4,1,5,1,1,2,1,1,1,3,3,1,1,3,1,2;0.24458295382429832;0.3333333333333333
219;8ac29901e6bb;3;1;2480287;2480287;0;1.6666666666666667;1.6666666666666667;112;199;1.7767857142857142;21.48419991923052;11.908275033173183;46;False;9533450789;46;3843.6885687019285;0.005859375001819019;9;57;1073724245;6291353;1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,3,1,1,1,1,1,3,1,1,1,2,1,1,1,2,1,1,3,1,1,2,1,2,2,1,1,1,4,1,1,2,1,1,5,2,1,1,9,2,1,3;0.1918232135645582;0.3333333333333333
220;209fbfa18867;3;1;2431999;2431999;0;1.0;1.0;102;183;1.7941176470588236;21.333824926442077;13.983462529567404;41;False;39391746821;41;16197.270977907474;0.046875000044523274;6;56;350940053;16450315;1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,2,1,4,1,1,1,1,1,1,4,2,3,3,3,2,2,2,1,1,1,1,1,3,6,1,2,3,2;0.2091551463376674;0.3333333333333333
221;a9b20e787190;3;1;2298025;2298025;0;1.0;1.0;208;351;1.6875;21.327799849999565;12.721812561298265;85;False;15523957313;85;6755.347445306295;0.0029296875005964495;10;89;1637292373;4796755;2,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,4,3,1,1,1,2,2,2,1,1,2,1,3,2,1,1,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,6,2,1,1;0.10253749927884406;0.3333333333333333
222;af11f1b94edd;3;1;2237467;2237467;0;1.0;1.0;155;267;1.7225806451612904;21.330812388220806;14.51278754254821;59;False;52304792741;59;23376.788458109102;0.04687500178632082;6;83;8747029;410017;1,2,1,1,1,1,2,1,1,1,1,1,3,1,4,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,4;0.13761814444013423;0.3333333333333333
223;0b334bff6f23;3;1;2084863;2084863;0;1.0;1.0;162;278;1.7160493827160495;21.236074883172705;13.816550066346366;92;False;30079718549;92;14427.67152997583;0.002929687529153357;10;107;33497429;98137;1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1;0.13108688199489324;0.3333333333333333
224;28bb07a3c0f1;3;1;2024743;2024743;0;1.6666666666666667;1.6666666666666667;157;270;1.7197452229299364;21.160887386778484;11.98647506778866;94;False;8216025965;94;4057.811764258476;0.005859379553959686;9;110;428885;2513;1,1,2,1,3,4,2,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1;0.13478272220878015;0.3333333333333333
225;2d2ab03f24b2;3;1;1587961;1587961;0;1.3333333333333333;1.3333333333333333;125;219;1.752;20.879687409855478;12.323312532452022;45;False;8138196845;45;5124.93496061931;0.01171875002071566;8;88;188565077;2209747;2,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,1,1,2,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,1,1,5,2,2,2,3,2,4,1,1,1,1;0.16703749927884382;0.3333333333333333
226;d96c7645d908;3;1;1563647;1563647;0;0.6666666666666666;0.6666666666666666;161;276;1.7142857142857142;20.821037383893866;14.231587565625205;91;False;30079718549;91;19236.8984489466;0.002929687529153357;10;106;33497429;98137;1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1;0.12932321356455817;0.3333333333333333
227;d181f3084aa7;3;1;1512173;1512173;0;1.0;1.0;67;127;1.8955223880597014;20.80751245168254;11.888725024519303;34;False;5734125917;34;3791.9774503314106;0.005859382340671029;9;48;266069;1559;3,2,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,4,6,4,1,2,2,3,2,1,3,3,9,1,1,5,2,1,1,3,2,3,1,2,1;0.3105598873385454;0.3333333333333333
228;92f08a3734a8;3;1;1130495;1130495;0;2.0;2.0;119;209;1.7563025210084033;20.389462414182418;12.813537528125089;39;False;8138196845;39;7198.79065807456;0.01171875002071566;8;82;188565077;2209747;1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,3,1,1,1,2,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,1,1,5,2,2,2,3,2,4,1,1,1,1,1,2,1,1,1,1;0.1713400202872472;0.3333333333333333
229;24188ce24769;3;1;854191;854191;0;1.0;1.0;154;264;1.7142857142857142;19.915774888941968;13.231587565625205;91;False;8216025965;91;9618.48809575376;0.005859379553959686;9;107;428885;2513;1,1,1,2,3,1,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2;0.12932321356455823;0.3333333333333333
230;ef68d135f2fb;3;1;687871;687871;0;1.0;1.0;139;240;1.7266187050359711;19.690212399759304;13.2481250360578;50;False;6692535845;50;9729.347283138844;0.023440317345834835;7;131;2773;65;1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1,1,4,1,1,2,1,2,2,1,4,1;0.14165620431481513;0.3333333333333333
