common_value;members_count;min_step;max_step;avg_step;members
408233;3;90;95;92.33333333333333;3708699,4172287,4395495
400697;3;116;121;118.0;3542887,3732423,4723849
388739;3;50;56;52.666666666666664;459759,581883,654619
386983;3;78;81;79.66666666666667;3563611,4009063,4751481
383393;3;111;118;113.66666666666667;1072575,1506607,1608863
380351;3;121;126;123.0;3542887,3732423,4723849
373157;3;133;136;134.33333333333334;3428767,4063723,4571689
365155;3;88;90;89.0;2799007,3732009,4198511
347381;3;143;148;145.0;3542887,3732423,4723849
340813;3;54;56;55.0;3224667,3627751,4837001
338089;3;119;124;121.0;3542887,3732423,4723849
331679;3;85;92;87.66666666666667;1072575,1506607,1608863
323489;3;114;121;116.66666666666667;1072575,1506607,1608863
307151;3;46;52;48.666666666666664;459759,581883,654619
306175;3;91;96;93.33333333333333;3708699,4172287,4395495
300523;3;117;122;119.0;3542887,3732423,4723849
287545;3;112;119;114.66666666666667;1072575,1506607,1608863
276941;3;51;53;52.0;829087,1105449,1243631
272945;3;117;124;119.66666666666667;1072575,1506607,1608863
267131;3;115;120;117.0;3542887,3732423,4723849
259157;3;87;95;92.0;1395183,2092775,2234815
253567;3;120;125;122.0;3542887,3732423,4723849
252173;3;144;147;145.33333333333334;3428767,4063723,4571689
248771;3;132;135;133.33333333333334;3428767,4063723,4571689
248177;3;120;123;121.66666666666667;1027431,1541147,1733791
242617;3;115;122;117.66666666666667;1072575,1506607,1608863
237449;3;113;118;115.0;3542887,3732423,4723849
236141;3;137;140;138.33333333333334;3428767,4063723,4571689
232765;3;104;109;106.33333333333333;3708699,4172287,4395495
232453;3;87;90;88.66666666666667;3563611,4009063,4751481
231587;3;142;147;144.0;3542887,3732423,4723849
224561;3;48;49;48.666666666666664;2268927,3403391,4537855
224153;3;142;145;143.33333333333334;3428767,4063723,4571689
221129;3;130;133;131.33333333333334;3428767,4063723,4571689
221119;3;84;91;86.66666666666667;1072575,1506607,1608863
220601;3;118;121;119.66666666666667;1027431,1541147,1733791
218609;3;125;132;127.66666666666667;1072575,1506607,1608863
215659;3;113;120;115.66666666666667;1072575,1506607,1608863
204767;3;45;51;47.666666666666664;459759,581883,654619
204709;3;118;125;120.66666666666667;1072575,1506607,1608863
196397;3;107;112;109.33333333333333;3708699,4172287,4395495
187217;3;50;53;51.333333333333336;420351,630527,747291
186133;3;121;124;122.66666666666667;1027431,1541147,1733791
184627;3;50;52;51.0;829087,1105449,1243631
181963;3;116;123;118.66666666666667;1072575,1506607,1608863
178087;3;114;119;116.0;3542887,3732423,4723849
177713;3;55;58;56.333333333333336;420351,630527,747291
168421;3;49;50;49.666666666666664;2268927,3403391,4537855
168115;3;143;146;144.33333333333334;3428767,4063723,4571689
165847;3;131;134;132.33333333333334;3428767,4063723,4571689
165451;3;119;122;120.66666666666667;1027431,1541147,1733791
163957;3;126;133;128.66666666666666;1072575,1506607,1608863
157427;3;136;139;137.33333333333334;3428767,4063723,4571689
154391;3;141;146;143.0;3542887,3732423,4723849
151177;3;0;2;1.0;134379,151177,201569
149707;3;47;48;47.666666666666664;2268927,3403391,4537855
149435;3;141;144;142.33333333333334;3428767,4063723,4571689
147419;3;129;132;130.33333333333334;3428767,4063723,4571689
145739;3;124;131;126.66666666666667;1072575,1506607,1608863
142337;3;63;66;64.33333333333333;420351,630527,747291
140413;3;51;54;52.333333333333336;420351,630527,747291
138367;3;0;2;1.0;138367,184489,245985
136511;3;44;50;46.666666666666664;459759,581883,654619
133285;3;56;59;57.333333333333336;420351,630527,747291
130931;3;106;111;108.33333333333333;3708699,4172287,4395495
129545;3;122;129;124.66666666666667;1072575,1506607,1608863
127805;3;55;57;56.0;3224667,3627751,4837001
126521;3;61;64;62.333333333333336;420351,630527,747291
124811;3;49;52;50.333333333333336;420351,630527,747291
118475;3;54;57;55.333333333333336;420351,630527,747291
109333;3;52;58;54.666666666666664;459759,581883,654619
108053;3;65;66;65.66666666666667;2268927,3403391,4537855
106753;3;64;67;65.33333333333333;420351,630527,747291
104951;3;135;138;136.33333333333334;3428767,4063723,4571689
103853;3;52;54;53.0;829087,1105449,1243631
99623;3;140;143;141.33333333333334;3428767,4063723,4571689
98279;3;128;131;129.33333333333334;3428767,4063723,4571689
97159;3;123;130;125.66666666666667;1072575,1506607,1608863
94891;3;62;65;63.333333333333336;420351,630527,747291
94565;3;145;148;146.33333333333334;3428767,4063723,4571689
91007;3;43;49;45.666666666666664;459759,581883,654619
88553;3;138;141;139.33333333333334;3428767,4063723,4571689
87287;3;105;110;107.33333333333333;3708699,4172287,4395495
86363;3;121;128;123.66666666666667;1072575,1506607,1608863
84347;3;60;63;61.333333333333336;420351,630527,747291
83207;3;48;51;49.333333333333336;420351,630527,747291
80065;3;65;68;66.33333333333333;420351,630527,747291
79937;3;54;55;54.666666666666664;2268927,3403391,4537855
78983;3;53;56;54.333333333333336;420351,630527,747291
77671;3;0;2;1.0;77671,103561,138081
75329;3;170;175;172.0;3542887,3732423,4723849
73961;3;46;49;47.333333333333336;420351,630527,747291
73649;3;108;113;110.33333333333333;3708699,4172287,4395495
73277;3;146;151;148.0;3542887,3732423,4723849
72035;3;64;65;64.66666666666667;2268927,3403391,4537855
69967;3;134;137;135.33333333333334;3428767,4063723,4571689
66415;3;139;142;140.33333333333334;3428767,4063723,4571689
65519;3;127;130;128.33333333333334;3428767,4063723,4571689
62693;3;161;166;163.0;3542887,3732423,4723849
61829;3;149;154;151.0;3542887,3732423,4723849
59953;3;55;56;55.666666666666664;2268927,3403391,4537855
57575;3;120;127;122.66666666666667;1072575,1506607,1608863
56497;3;171;176;173.0;3542887,3732423,4723849
56231;3;59;62;60.333333333333336;420351,630527,747291
55471;3;47;50;48.333333333333336;420351,630527,747291
55237;3;109;114;111.33333333333333;3708699,4172287,4395495
