METRICHE DELLE FAMIGLIE GRAVITAZIONALI
========================================================================================================================

Famiglie analizzate: 344
Famiglie con tronco dissipativo da subito: 77
Percentuale dissipative da subito: 0.2238

Media membri: 6.979651
Media nodi comuni: 19.389535
Media avg_v2 tronco: 1.847881
Media surplus finale: 24.010594

TOP 20 PER MEMBRI
------------------------------------------------------------------------------------------------------------------------
id=1f683e81246f | members=   2 | nodes= 115 | max_common=    63486606161 | steps=  75 | avg_v2=2.066667 | surplus=+36.127812 | surplus_step=+0.481704 | max_debt_trunk=0.000000 | diss=True
id=03fc565be756 | members=   6 | nodes= 108 | max_common=    58956314129 | steps=  89 | avg_v2=1.988764 | surplus=+35.938337 | surplus_step=+0.403802 | max_debt_trunk=0.000000 | diss=True
id=12eadc99058e | members=  14 | nodes=  87 | max_common=    52304792741 | steps=  96 | avg_v2=1.958333 | surplus=+35.843600 | surplus_step=+0.373371 | max_debt_trunk=0.000000 | diss=True
id=24cabf9c92fb | members=   8 | nodes=  71 | max_common=    51968116565 | steps=  79 | avg_v2=2.037975 | surplus=+35.787962 | surplus_step=+0.453012 | max_debt_trunk=0.000000 | diss=True
id=d47b48960c03 | members=   5 | nodes=  96 | max_common=    48095597285 | steps= 115 | avg_v2=1.895652 | surplus=+35.729312 | surplus_step=+0.310690 | max_debt_trunk=0.000000 | diss=True
id=ec09d53fbb3f | members=  11 | nodes= 104 | max_common=    50543191457 | steps=  74 | avg_v2=2.067568 | surplus=+35.712775 | surplus_step=+0.482605 | max_debt_trunk=0.000000 | diss=True
id=17f435640d64 | members=  12 | nodes=  56 | max_common=    46548912269 | steps=  81 | avg_v2=2.024691 | surplus=+35.618037 | surplus_step=+0.439729 | max_debt_trunk=0.000000 | diss=True
id=f59d882b99b2 | members=   6 | nodes= 104 | max_common=    42216015293 | steps=  52 | avg_v2=2.269231 | surplus=+35.581950 | surplus_step=+0.684268 | max_debt_trunk=0.000000 | diss=True
id=fd2bf2f714a8 | members=   2 | nodes=  62 | max_common=    46162343069 | steps=  52 | avg_v2=2.269231 | surplus=+35.581950 | surplus_step=+0.684268 | max_debt_trunk=0.000000 | diss=True
id=186dbf0b44a8 | members=   3 | nodes= 148 | max_common=    41739568049 | steps= 112 | avg_v2=1.901786 | surplus=+35.484200 | surplus_step=+0.316823 | max_debt_trunk=0.000000 | diss=True
id=0e0d9036e538 | members=   9 | nodes=  91 | max_common=    38828142341 | steps=  83 | avg_v2=2.012048 | surplus=+35.448112 | surplus_step=+0.427086 | max_debt_trunk=0.000000 | diss=True
id=b691a0627f67 | members=   2 | nodes=  79 | max_common=    37503439181 | steps=  66 | avg_v2=2.121212 | surplus=+35.392475 | surplus_step=+0.536250 | max_debt_trunk=0.000000 | diss=True
id=8ab10e39cf8c | members=   6 | nodes=  82 | max_common=    39391746821 | steps=  61 | avg_v2=2.163934 | surplus=+35.317287 | surplus_step=+0.578972 | max_debt_trunk=0.000000 | diss=True
id=76e0521fb269 | members=   2 | nodes= 120 | max_common=    33294549221 | steps=  85 | avg_v2=2.000000 | surplus=+35.278187 | surplus_step=+0.415037 | max_debt_trunk=0.000000 | diss=True
id=8953bc6def58 | members=   2 | nodes=  50 | max_common=    34273584341 | steps=  56 | avg_v2=2.214286 | surplus=+35.242100 | surplus_step=+0.629323 | max_debt_trunk=0.000000 | diss=True

TOP 20 PER SURPLUS PER STEP
------------------------------------------------------------------------------------------------------------------------
id=106a3d99ad29 | members=   4 | nodes=  43 | max_common=      932774453 | steps=  24 | avg_v2=2.833333 | surplus=+29.960900 | surplus_step=+1.248371 | max_debt_trunk=0.000000 | diss=True
id=d56a22f4b5d8 | members=   3 | nodes=  59 | max_common=     4476320981 | steps=  27 | avg_v2=2.777778 | surplus=+32.206012 | surplus_step=+1.192815 | max_debt_trunk=0.000000 | diss=True
id=b62bfe5b148d | members=   9 | nodes=   1 | max_common=          13121 | steps=  12 | avg_v2=2.750000 | surplus=+13.980450 | surplus_step=+1.165037 | max_debt_trunk=0.000000 | diss=True
id=dbe9d33f49c6 | members=  27 | nodes=  36 | max_common=     5734125917 | steps=  33 | avg_v2=2.575758 | surplus=+32.696237 | surplus_step=+0.990795 | max_debt_trunk=0.000000 | diss=True
id=caeebb186297 | members=   3 | nodes=  56 | max_common=    23530407821 | steps=  38 | avg_v2=2.500000 | surplus=+34.771425 | surplus_step=+0.915037 | max_debt_trunk=0.000000 | diss=True
id=1d3d8228224e | members=   3 | nodes= 122 | max_common=     5936080241 | steps=  38 | avg_v2=2.447368 | surplus=+32.771425 | surplus_step=+0.862406 | max_debt_trunk=0.000000 | diss=True
id=5af606ae1a78 | members=   4 | nodes=  12 | max_common=          60049 | steps=  19 | avg_v2=2.421053 | surplus=+15.885712 | surplus_step=+0.836090 | max_debt_trunk=0.000000 | diss=True
id=4b6ec2f1fc99 | members=   9 | nodes=  63 | max_common=      827370449 | steps=  38 | avg_v2=2.368421 | surplus=+29.771425 | surplus_step=+0.783459 | max_debt_trunk=0.000000 | diss=True
id=b35e62ab385c | members=   3 | nodes=  52 | max_common=     2324522933 | steps=  42 | avg_v2=2.333333 | surplus=+31.431575 | surplus_step=+0.748371 | max_debt_trunk=0.000000 | diss=True
id=68de507d8290 | members=  13 | nodes=   1 | max_common=          64405 | steps=  22 | avg_v2=2.318182 | surplus=+16.130825 | surplus_step=+0.733219 | max_debt_trunk=0.000000 | diss=True
