start;classe_mod_1024;reached_one;total_steps;first_descent_step;final_descent_step;last_above_start_step;first_positive_surplus_step;peak_step;max_value;max_ratio;max_debt;max_debt_step;max_run_1;count_1;count_2;count_3;count_4_plus;ratio_1;ratio_2;ratio_3;ratio_4_plus;total_v2;avg_v2;final_surplus;prefix_50
1027431;359;True;138;115;120;119;115;100;5936080241;5777.595031685826;12.4962500721156;100;6;78;37;15;8;0.5652173913043478;0.26811594202898553;0.10869565217391304;0.057971014492753624;239;1.7318840579710144;20.275174900480465;1,1,2,1,1,1,1,2,1,1,1,3,1,1,1,3,2,1,1,1,1,2,1,1,1,2,1,3,1,2,3,1,2,1,3,1,1,2,1,1,3,1,2,2,2,2,2,1,2,1
4571689;553;True;208;1;119;118;1;96;41739568049;9130.010385439604;13.156400069230983;96;9;121;55;15;17;0.5817307692307693;0.2644230769230769;0.07211538461538461;0.08173076923076923;352;1.6923076923076923;22.327799849999565;2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,3,1
4923135;767;True;170;61;119;118;61;39;35440593461;7198.785623591471;12.813537528125089;39;7;101;42;10;17;0.5941176470588235;0.24705882352941178;0.058823529411764705;0.1;292;1.7176470588235293;22.55637487740347;1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,5,5,1,1,3,1,1,1,5,1,3
3540649;681;True;154;1;119;118;1;72;15730912385;4442.946020630681;12.117300051923237;72;7;85;42;17;10;0.551948051948052;0.2727272727272727;0.11038961038961038;0.06493506493506493;266;1.7272727272727273;21.915774888941968;2,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,2,1,1,1,3,2,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1
3692539;1019;True;152;63;119;118;63;41;14952269681;4049.3193656180747;11.983462529567404;41;11;88;37;16;11;0.5789473684210527;0.24342105263157895;0.10526315789473684;0.07236842105263158;263;1.730263157894737;22.085699890384262;1,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,3,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,6,1,4,1,1,1,1,2
1541147;27;True;137;114;119;118;114;99;5936080241;3851.7287714929207;11.911287571394439;99;6;77;37;15;8;0.5620437956204379;0.27007299270072993;0.10948905109489052;0.058394160583941604;238;1.7372262773722629;20.860137401201627;1,2,1,1,1,1,2,1,1,1,3,1,1,1,3,2,1,1,1,1,2,1,1,1,2,1,3,1,2,3,1,2,1,3,1,1,2,1,1,3,1,2,2,2,2,2,1,2,1,1
1327743;639;True;153;118;118;117;118;71;15730912385;11847.859401254611;13.532337551202076;71;6;85;42;16;10;0.5555555555555556;0.27450980392156865;0.10457516339869281;0.06535947712418301;263;1.7189542483660132;20.50073738966313;1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,2,1,1,1,3,2,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1
2655487;255;True;153;118;118;117;118;71;15730912385;5923.927469801208;12.532337551202076;71;7;85;41;17;10;0.5555555555555556;0.2679738562091503;0.1111111111111111;0.06535947712418301;264;1.7254901960784315;21.50073738966313;1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,2,1,1,1,3,2,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1
1991615;959;True;152;117;117;116;117;70;15730912385;7898.570951212961;12.947375050480929;70;5;84;42;16;10;0.5526315789473685;0.27631578947368424;0.10526315789473684;0.06578947368421052;262;1.7236842105263157;21.085699890384262;1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,2,1,1,1,3,2,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2
3983231;895;True;152;111;117;116;111;70;15730912385;3949.2844841285882;11.947375050480929;70;6;84;41;17;10;0.5526315789473685;0.26973684210526316;0.1118421052631579;0.06578947368421052;263;1.730263157894737;22.085699890384262;1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,2,1,1,1,3,2,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2
