source_node,source_b,t,event_index,step,node,node_id,K,L,b,v2_n_minus_q,value_bit_length
K5:L4:w1-1-1-2,2,1,0,0,K5:L4:w1-1-1-2,2,5,4,2,11,12
K5:L4:w1-1-1-2,2,1,1,1,K4:L3:w1-1-2,1,4,3,1,7,13
K5:L4:w1-1-1-2,2,1,2,2,K3:L2:w1-2,0,3,2,1,5,13
K5:L4:w1-1-1-2,2,1,3,4,K5:L4:w1-1-1-2,2,5,4,1,6,13
K5:L4:w1-1-1-2,2,1,4,5,K4:L3:w1-1-2,1,4,3,1,5,14
K5:L4:w1-1-1-2,2,1,5,6,K3:L2:w1-2,0,3,2,1,4,14
K5:L4:w1-1-1-2,2,2,0,0,K5:L4:w1-1-1-2,2,5,4,2,13,13
K5:L4:w1-1-1-2,2,2,1,1,K4:L3:w1-1-2,1,4,3,1,7,13
K5:L4:w1-1-1-2,2,2,2,2,K3:L2:w1-2,0,3,2,1,5,14
K5:L4:w1-1-1-2,2,2,3,4,K5:L4:w1-1-1-2,2,5,4,1,8,14
K5:L4:w1-1-1-2,2,2,4,5,K4:L3:w1-1-2,1,4,3,1,8,15
K5:L4:w1-1-1-2,2,2,5,6,K3:L2:w1-2,0,3,2,1,5,15
K5:L4:w1-1-1-2,2,3,0,0,K5:L4:w1-1-1-2,2,5,4,2,11,13
K5:L4:w1-1-1-2,2,3,1,1,K4:L3:w1-1-2,1,4,3,1,7,14
K5:L4:w1-1-1-2,2,3,2,2,K3:L2:w1-2,0,3,2,1,5,14
K5:L4:w1-1-1-2,2,3,3,4,K7:L5:w1-1-1-2-2,7,7,5,1,9,15
K5:L4:w1-1-1-2,2,3,4,5,K6:L4:w1-1-2-2,4,6,4,1,8,15
K5:L4:w1-1-1-2,2,3,5,6,K3:L2:w1-2,0,3,2,1,4,16
K5:L4:w1-1-1-2,2,4,0,0,K5:L4:w1-1-1-2,2,5,4,2,12,14
K5:L4:w1-1-1-2,2,4,1,1,K4:L3:w1-1-2,1,4,3,1,7,14
K5:L4:w1-1-1-2,2,4,2,2,K3:L2:w1-2,0,3,2,1,5,15
K5:L4:w1-1-1-2,2,4,3,4,K8:L6:w1-1-1-2-1-2,12,8,6,1,11,15
K5:L4:w1-1-1-2,2,4,4,5,K7:L5:w1-1-2-1-2,8,7,5,1,11,16
K5:L4:w1-1-1-2,2,4,5,6,K3:L2:w1-2,0,3,2,2,8,16
K5:L4:w1-1-1-2,2,4,6,8,K3:L2:w1-2,0,3,2,1,5,16
K5:L4:w1-1-1-2,2,5,0,0,K5:L4:w1-1-1-2,2,5,4,2,11,14
K5:L4:w1-1-1-2,2,5,1,1,K4:L3:w1-1-2,1,4,3,1,7,15
K5:L4:w1-1-1-2,2,5,2,2,K3:L2:w1-2,0,3,2,1,5,15
K5:L4:w1-1-1-2,2,5,3,4,K5:L4:w1-1-1-2,2,5,4,1,6,15
K5:L4:w1-1-1-2,2,5,4,5,K4:L3:w1-1-2,1,4,3,1,5,16
K5:L4:w1-1-1-2,2,5,5,6,K3:L2:w1-2,0,3,2,1,4,16
K5:L4:w1-1-1-2,2,6,0,0,K5:L4:w1-1-1-2,2,5,4,2,14,14
K5:L4:w1-1-1-2,2,6,1,1,K4:L3:w1-1-2,1,4,3,1,7,15
K5:L4:w1-1-1-2,2,6,2,2,K3:L2:w1-2,0,3,2,1,5,15
K5:L4:w1-1-1-2,2,6,3,4,K5:L4:w1-1-1-2,2,5,4,1,9,16
K5:L4:w1-1-1-2,2,6,4,5,K4:L3:w1-1-2,1,4,3,1,7,16
K5:L4:w1-1-1-2,2,6,5,6,K3:L2:w1-2,0,3,2,1,5,17
K5:L4:w1-1-1-2,2,7,0,0,K5:L4:w1-1-1-2,2,5,4,2,11,14
K5:L4:w1-1-1-2,2,7,1,1,K4:L3:w1-1-2,1,4,3,1,7,15
K5:L4:w1-1-1-2,2,7,2,2,K3:L2:w1-2,0,3,2,1,5,16
K5:L4:w1-1-1-2,2,7,3,4,K9:L6:w1-1-1-2-2-2,18,9,6,1,11,16
K5:L4:w1-1-1-2,2,7,4,5,K6:L4:w1-1-2-2,4,6,4,1,7,16
K5:L4:w1-1-1-2,2,7,5,6,K3:L2:w1-2,0,3,2,1,4,17
K6:L4:w1-1-1-3,1,0,0,0,K6:L4:w1-1-1-3,3,6,4,1,7,7
K6:L4:w1-1-1-3,1,1,0,0,K10:L7:w1-1-1-3-1-1-2,37,10,7,1,11,8
K6:L4:w1-1-1-3,1,1,1,4,K4:L3:w1-1-2,1,4,3,1,5,9
K6:L4:w1-1-1-3,1,1,2,5,K3:L2:w1-2,0,3,2,1,4,9
K6:L4:w1-1-1-3,1,2,0,0,K6:L4:w1-1-1-3,3,6,4,1,7,9
K6:L4:w1-1-1-3,1,3,0,0,K9:L6:w1-1-1-3-1-2,19,9,6,1,10,9
K6:L4:w1-1-1-3,1,3,1,4,K3:L2:w1-2,0,3,2,1,4,10
K6:L4:w1-1-1-3,1,4,0,0,K6:L4:w1-1-1-3,3,6,4,1,7,10
K6:L4:w1-1-1-3,1,5,0,0,K6:L4:w1-1-1-3,3,6,4,1,12,10
K6:L4:w1-1-1-3,1,6,0,0,K6:L4:w1-1-1-3,3,6,4,1,7,10
K6:L4:w1-1-1-3,1,7,0,0,K6:L4:w1-1-1-3,3,6,4,1,8,10
K6:L4:w1-1-1-3,2,0,0,0,K6:L4:w1-1-1-3,3,6,4,2,14,13
K6:L4:w1-1-1-3,2,0,1,4,K6:L4:w1-1-1-3,3,6,4,1,8,13
K6:L4:w1-1-1-3,2,1,0,0,K6:L4:w1-1-1-3,3,6,4,2,13,14
K6:L4:w1-1-1-3,2,1,1,4,K6:L4:w1-1-1-3,3,6,4,1,7,15
K6:L4:w1-1-1-3,2,2,0,0,K6:L4:w1-1-1-3,3,6,4,2,15,15
K6:L4:w1-1-1-3,2,2,1,4,K10:L7:w1-1-1-3-1-1-2,37,10,7,1,12,15
K6:L4:w1-1-1-3,2,2,2,8,K7:L5:w1-1-2-1-2,8,7,5,1,11,16
K6:L4:w1-1-1-3,2,2,3,9,K3:L2:w1-2,0,3,2,2,8,16
K6:L4:w1-1-1-3,2,2,4,11,K3:L2:w1-2,0,3,2,1,5,16
K6:L4:w1-1-1-3,2,3,0,0,K6:L4:w1-1-1-3,3,6,4,2,13,15
K6:L4:w1-1-1-3,2,3,1,4,K6:L4:w1-1-1-3,3,6,4,1,7,16
K6:L4:w1-1-1-3,2,3,2,9,K9:L7:w1-1-1-2-1-1-2,26,9,7,1,11,16
K6:L4:w1-1-1-3,2,3,3,10,K4:L3:w1-1-2,1,4,3,2,10,16
K6:L4:w1-1-1-3,2,3,4,11,K3:L2:w1-2,0,3,2,1,5,17
K6:L4:w1-1-1-3,2,3,5,13,K4:L3:w1-1-2,1,4,3,1,6,17
K6:L4:w1-1-1-3,2,3,6,14,K3:L2:w1-2,0,3,2,1,6,18
K6:L4:w1-1-1-3,2,4,0,0,K6:L4:w1-1-1-3,3,6,4,2,14,16
K6:L4:w1-1-1-3,2,4,1,4,K9:L6:w1-1-1-3-1-2,19,9,6,1,10,16
K6:L4:w1-1-1-3,2,4,2,8,K3:L2:w1-2,0,3,2,1,4,16
K6:L4:w1-1-1-3,2,5,0,0,K6:L4:w1-1-1-3,3,6,4,2,13,16
K6:L4:w1-1-1-3,2,5,1,4,K6:L4:w1-1-1-3,3,6,4,1,7,16
K6:L4:w1-1-1-3,2,6,0,0,K6:L4:w1-1-1-3,3,6,4,2,17,16
K6:L4:w1-1-1-3,2,6,1,4,K6:L4:w1-1-1-3,3,6,4,1,11,17
K6:L4:w1-1-1-3,2,6,2,8,K5:L4:w1-1-1-2,2,5,4,1,6,17
K6:L4:w1-1-1-3,2,6,3,9,K4:L3:w1-1-2,1,4,3,1,5,17
K6:L4:w1-1-1-3,2,6,4,10,K3:L2:w1-2,0,3,2,1,4,18
K6:L4:w1-1-1-3,2,7,0,0,K6:L4:w1-1-1-3,3,6,4,2,13,16
K6:L4:w1-1-1-3,2,7,1,4,K6:L4:w1-1-1-3,3,6,4,1,7,17
K6:L4:w1-1-2-2,1,0,0,0,K9:L6:w1-1-2-2-1-2,22,9,6,1,14,7
K6:L4:w1-1-2-2,1,0,1,1,K3:L2:w1-2,0,3,2,1,4,7
K6:L4:w1-1-2-2,1,0,2,6,K4:L3:w1-1-2,1,4,3,1,7,7
K6:L4:w1-1-2-2,1,0,3,7,K3:L2:w1-2,0,3,2,1,5,8
K6:L4:w1-1-2-2,1,0,4,9,K5:L4:w1-1-1-2,2,5,4,1,6,8
K6:L4:w1-1-2-2,1,0,5,10,K4:L3:w1-1-2,1,4,3,1,5,9
K6:L4:w1-1-2-2,1,0,6,11,K3:L2:w1-2,0,3,2,1,4,9
K6:L4:w1-1-2-2,1,0,7,14,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K6:L4:w1-1-2-2,1,0,8,15,K3:L2:w1-2,0,3,2,2,8,8
K6:L4:w1-1-2-2,1,0,9,17,K3:L2:w1-2,0,3,2,1,5,9
K6:L4:w1-1-2-2,1,0,10,19,K8:L6:w1-1-1-1-1-3,10,8,6,1,12,9
K6:L4:w1-1-2-2,1,0,11,20,K7:L5:w1-1-1-1-3,6,7,5,1,11,9
K6:L4:w1-1-2-2,1,0,12,21,K6:L4:w1-1-1-3,3,6,4,1,12,10
K6:L4:w1-1-2-2,1,1,0,0,K6:L4:w1-1-2-2,4,6,4,1,7,8
K6:L4:w1-1-2-2,1,1,1,1,K3:L2:w1-2,0,3,2,1,4,9
K6:L4:w1-1-2-2,1,2,0,0,K6:L4:w1-1-2-2,4,6,4,1,9,9
K6:L4:w1-1-2-2,1,2,1,1,K3:L2:w1-2,0,3,2,1,4,9
K6:L4:w1-1-2-2,1,2,2,4,K9:L7:w1-1-1-1-2-1-2,25,9,7,1,10,9
K6:L4:w1-1-2-2,1,2,3,5,K10:L7:w1-1-1-2-1-2-2,35,10,7,1,11,10
K6:L4:w1-1-2-2,1,2,4,6,K9:L6:w1-1-2-1-2-2,21,9,6,1,10,10
K6:L4:w1-1-2-2,1,2,5,7,K3:L2:w1-2,0,3,2,2,7,11
