src,dst,count,source_events,empirical_probability
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,113,50343,0.0022446020300736945
K7:L5:w1-1-1-2-2:b2,K6:L4:w1-1-2-2:b1,113,113,1.0
K14:L9:w1-1-2-1-1-3-1-2-2:b1,K3:L2:w1-2:b1,113,113,1.0
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-1-1-3:b1,113,50343,0.0022446020300736945
K14:L9:w1-1-1-2-2-1-2-2-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,113,113,1.0
K13:L9:w1-1-1-2-2-1-1-2-2:b1,K6:L4:w1-1-2-2:b2,113,115,0.9826086956521739
K14:L9:w1-1-2-2-1-2-2-1-2:b1,K3:L2:w1-2:b1,113,113,1.0
K12:L8:w1-1-1-2-1-3-1-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,112,112,1.0
K14:L9:w1-1-1-3-1-2-1-2-2:b1,K11:L7:w1-1-3-1-2-1-2:b1,112,112,1.0
K13:L9:w1-1-1-2-1-1-2-2-2:b1,K4:L3:w1-1-2:b2,112,112,1.0
K12:L8:w1-1-1-1-1-1-4-2:b1,K11:L7:w1-1-1-1-1-4-2:b1,112,115,0.9739130434782609
K14:L9:w1-1-1-1-3-1-2-2-2:b1,K11:L7:w1-1-1-3-1-2-2:b1,111,111,1.0
K13:L9:w1-1-1-2-1-2-2-1-2:b1,K12:L8:w1-1-2-1-2-2-1-2:b1,109,109,1.0
K13:L9:w1-1-1-1-1-1-3-2-2:b1,K12:L8:w1-1-1-1-1-3-2-2:b1,109,122,0.8934426229508197
K14:L9:w1-1-1-1-1-1-4-2-2:b1,K11:L7:w1-1-1-1-1-4-2:b1,109,109,1.0
K7:L5:w1-1-2-1-2:b2,K3:L2:w1-2:b2,107,107,1.0
K14:L9:w1-1-1-1-2-1-2-2-3:b1,K10:L7:w1-1-1-2-1-2-2:b1,107,107,1.0
K12:L8:w1-1-1-1-1-2-2-3:b1,K11:L7:w1-1-1-1-2-2-3:b1,106,108,0.9814814814814815
K14:L9:w1-1-1-2-1-3-1-2-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,106,106,1.0
K12:L8:w1-1-1-1-1-1-2-4:b1,K11:L7:w1-1-1-1-1-2-4:b1,105,111,0.9459459459459459
K14:L9:w1-1-1-1-3-2-1-2-2:b1,K11:L7:w1-1-1-3-2-1-2:b1,105,105,1.0
K14:L9:w1-1-1-1-1-2-2-3-2:b1,K11:L7:w1-1-1-1-2-2-3:b1,105,105,1.0
K12:L8:w1-1-1-2-3-1-1-2:b1,K4:L3:w1-1-2:b1,105,105,1.0
K14:L9:w1-1-2-1-2-1-1-3-2:b1,K3:L2:w1-2:b2,105,105,1.0
K11:L8:w1-1-1-1-1-3-1-2:b1,K10:L7:w1-1-1-1-3-1-2:b1,104,108,0.9629629629629629
K14:L9:w1-1-1-1-1-3-2-2-2:b1,K11:L7:w1-1-1-1-3-2-2:b1,104,104,1.0
K14:L9:w1-1-1-1-2-2-2-1-3:b1,K9:L6:w1-1-1-2-2-2:b1,104,104,1.0
K13:L9:w1-1-1-1-1-2-2-2-2:b1,K12:L8:w1-1-1-1-2-2-2-2:b1,104,109,0.9541284403669725
K11:L8:w1-1-1-1-3-1-1-2:b1,K10:L7:w1-1-1-3-1-1-2:b1,104,104,1.0
K14:L9:w1-1-1-1-3-1-1-1-4:b1,K6:L4:w1-1-1-3:b1,103,103,1.0
K12:L8:w1-1-1-1-3-1-1-3:b1,K11:L7:w1-1-1-3-1-1-3:b1,103,103,1.0
K12:L8:w1-1-1-1-1-1-1-5:b1,K11:L7:w1-1-1-1-1-1-5:b1,103,110,0.9363636363636364
K12:L8:w1-1-1-1-1-3-1-3:b1,K11:L7:w1-1-1-1-3-1-3:b1,103,115,0.8956521739130435
K12:L8:w1-1-1-2-1-1-1-4:b1,K4:L3:w1-1-2:b1,103,103,1.0
K14:L9:w1-1-1-2-2-1-2-1-3:b1,K9:L6:w1-1-2-2-1-2:b1,102,102,1.0
K11:L8:w1-1-1-1-1-1-2-3:b1,K10:L7:w1-1-1-1-1-2-3:b1,102,106,0.9622641509433962
K14:L9:w1-1-1-1-2-2-3-1-2:b1,K7:L5:w1-1-1-2-2:b1,102,102,1.0
K14:L9:w1-1-1-1-2-3-1-2-2:b1,K11:L7:w1-1-1-2-3-1-2:b1,102,102,1.0
K14:L9:w1-1-1-2-2-2-1-2-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,101,101,1.0
K12:L9:w1-1-1-1-2-1-1-2-2:b1,K11:L8:w1-1-1-2-1-1-2-2:b1,101,105,0.9619047619047619
K14:L9:w1-1-1-2-2-2-2-1-2:b1,K6:L4:w1-1-2-2:b1,101,101,1.0
K14:L9:w1-1-1-1-1-1-1-5-2:b1,K11:L7:w1-1-1-1-1-1-5:b1,101,101,1.0
K6:L4:w1-1-1-3:b1,K7:L5:w1-1-1-2-2:b1,101,6057,0.01667492157833911
K14:L9:w1-1-1-2-1-2-3-1-2:b1,K7:L5:w1-1-2-1-2:b1,100,100,1.0
K14:L9:w1-1-1-3-1-1-2-2-2:b1,K6:L4:w1-1-2-2:b1,100,115,0.8695652173913043
K14:L9:w1-1-1-2-1-1-2-3-2:b1,K4:L3:w1-1-2:b2,100,100,1.0
K14:L9:w1-1-1-2-2-1-3-1-2:b1,K6:L4:w1-1-2-2:b1,100,100,1.0
K12:L8:w1-1-1-1-1-4-1-2:b1,K11:L7:w1-1-1-1-4-1-2:b1,99,106,0.9339622641509434
K13:L9:w1-1-1-1-1-3-2-1-2:b1,K12:L8:w1-1-1-1-3-2-1-2:b1,99,105,0.9428571428571428
K13:L9:w1-1-1-2-1-1-3-1-2:b1,K12:L8:w1-1-2-1-1-3-1-2:b1,99,99,1.0
K14:L9:w1-1-1-1-3-1-1-3-2:b1,K11:L7:w1-1-1-3-1-1-3:b1,99,99,1.0
K12:L8:w1-1-1-1-2-1-1-4:b1,K11:L7:w1-1-1-2-1-1-4:b1,99,99,1.0
K10:L8:w1-1-1-1-1-1-2-2:b1,K9:L7:w1-1-1-1-1-2-2:b1,98,101,0.9702970297029703
K13:L9:w1-1-1-1-2-2-2-1-2:b1,K12:L8:w1-1-1-2-2-2-1-2:b1,98,103,0.9514563106796117
K14:L9:w1-1-1-2-1-2-1-2-3:b1,K10:L7:w1-1-2-1-2-1-2:b1,98,98,1.0
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,98,50343,0.001946646008382496
K14:L9:w1-1-1-1-1-1-2-4-2:b1,K11:L7:w1-1-1-1-1-2-4:b1,98,98,1.0
K14:L9:w1-1-1-1-1-2-3-2-2:b1,K11:L7:w1-1-1-1-2-3-2:b1,98,98,1.0
K14:L9:w1-1-1-2-2-1-1-2-3:b1,K6:L4:w1-1-2-2:b1,98,98,1.0
K14:L9:w1-1-1-1-1-1-3-3-2:b1,K11:L7:w1-1-1-1-1-3-3:b1,98,98,1.0
K3:L2:w1-2:b1,K7:L6:w1-1-1-1-1-2:b1,97,50343,0.0019267822736030828
K13:L9:w1-1-1-2-2-1-2-1-2:b1,K12:L8:w1-1-2-2-1-2-1-2:b1,97,97,1.0
K13:L9:w1-1-1-2-1-1-1-3-2:b1,K4:L3:w1-1-2:b1,97,97,1.0
K14:L9:w1-1-1-3-1-2-2-1-2:b1,K3:L2:w1-2:b1,97,97,1.0
K12:L8:w1-1-1-1-1-2-1-4:b1,K11:L7:w1-1-1-1-2-1-4:b1,97,105,0.9238095238095239
K14:L9:w1-1-1-2-1-1-1-3-3:b1,K4:L3:w1-1-2:b1,97,97,1.0
K11:L8:w1-1-1-1-1-1-3-2:b1,K10:L7:w1-1-1-1-1-3-2:b1,96,99,0.9696969696969697
