src,dst,count
K12:L8:w1-1-1-1-1-2-1-4:b1,K11:L7:w1-1-1-1-2-1-4:b1,97
K14:L9:w1-1-1-2-1-1-1-3-3:b1,K4:L3:w1-1-2:b1,97
K11:L8:w1-1-1-1-1-1-3-2:b1,K10:L7:w1-1-1-1-1-3-2:b1,96
K13:L9:w1-1-1-2-1-2-1-2-2:b1,K12:L8:w1-1-2-1-2-1-2-2:b1,96
K14:L9:w1-1-2-1-3-1-1-2-2:b1,K3:L2:w1-2:b1,96
K14:L9:w1-1-2-2-1-1-3-1-2:b1,K3:L2:w1-2:b1,96
K14:L9:w1-1-2-1-1-3-2-1-2:b1,K3:L2:w1-2:b1,96
K14:L9:w1-1-1-1-2-1-1-2-4:b1,K9:L7:w1-1-1-2-1-1-2:b1,96
K14:L9:w1-1-1-2-1-1-1-4-2:b1,K4:L3:w1-1-2:b1,96
K14:L9:w1-1-1-2-2-1-1-3-2:b1,K11:L7:w1-1-2-2-1-1-3:b1,96
K13:L9:w1-1-1-3-1-2-1-1-2:b1,K3:L2:w1-2:b1,96
K7:L5:w1-1-1-1-3:b2,K6:L4:w1-1-1-3:b1,95
K13:L9:w1-1-1-2-2-2-1-1-2:b1,K6:L4:w1-1-2-2:b1,95
K11:L8:w1-1-1-1-1-2-1-3:b1,K10:L7:w1-1-1-1-2-1-3:b1,95
K14:L9:w1-1-1-1-1-3-1-1-4:b1,K7:L5:w1-1-1-1-3:b1,95
K11:L8:w1-1-1-1-2-2-1-2:b1,K10:L7:w1-1-1-2-2-1-2:b1,95
K14:L9:w1-1-2-2-2-1-2-1-2:b1,K3:L2:w1-2:b1,95
K13:L9:w1-1-1-1-2-1-1-3-2:b1,K12:L8:w1-1-1-2-1-1-3-2:b1,94
K3:L2:w1-2:b1,K9:L7:w1-1-1-2-1-1-2:b1,94
K14:L9:w1-1-1-1-2-1-1-4-2:b1,K11:L7:w1-1-1-2-1-1-4:b1,94
K14:L9:w1-1-1-1-2-1-2-3-2:b1,K11:L7:w1-1-1-2-1-2-3:b1,94
K3:L2:w1-2:b1,K11:L7:w1-1-3-1-2-1-2:b1,94
K12:L9:w1-1-1-2-1-1-2-1-2:b1,K4:L3:w1-1-2:b2,94
K14:L9:w1-1-1-1-1-3-3-1-2:b1,K7:L5:w1-1-1-1-3:b1,94
K14:L9:w1-1-1-1-2-2-1-3-2:b1,K11:L7:w1-1-1-2-2-1-3:b1,94
K14:L9:w1-1-1-1-1-4-1-2-2:b1,K11:L7:w1-1-1-1-4-1-2:b1,93
K14:L9:w1-1-1-1-2-3-2-1-2:b1,K5:L4:w1-1-1-2:b1,93
K10:L8:w1-1-1-1-1-2-1-2:b1,K9:L7:w1-1-1-1-2-1-2:b1,93
K14:L9:w1-1-1-1-3-1-3-1-2:b1,K6:L4:w1-1-1-3:b1,93
K12:L9:w1-1-1-1-3-1-1-1-2:b1,K6:L4:w1-1-1-3:b1,92
K14:L9:w1-1-2-1-2-1-1-2-3:b1,K3:L2:w1-2:b2,92
K14:L9:w1-1-1-1-1-3-1-3-2:b1,K11:L7:w1-1-1-1-3-1-3:b1,92
K14:L9:w1-1-1-1-1-2-4-1-2:b1,K6:L5:w1-1-1-1-2:b1,92
K14:L9:w1-1-1-2-1-1-2-2-3:b1,K4:L3:w1-1-2:b2,92
K14:L9:w1-1-1-1-1-2-1-4-2:b1,K11:L7:w1-1-1-1-2-1-4:b1,92
K13:L9:w1-1-1-1-3-2-1-1-2:b1,K12:L8:w1-1-1-3-2-1-1-2:b1,90
K14:L9:w1-1-1-3-1-2-1-1-3:b1,K3:L2:w1-2:b1,90
K14:L9:w1-1-1-1-1-3-2-1-3:b1,K9:L6:w1-1-1-1-3-2:b1,90
K14:L9:w1-1-1-1-1-1-3-2-3:b1,K10:L7:w1-1-1-1-1-3-2:b1,90
K13:L9:w1-1-1-1-1-3-1-2-2:b1,K12:L8:w1-1-1-1-3-1-2-2:b1,90
K14:L9:w1-1-1-2-2-3-1-1-2:b1,K6:L4:w1-1-2-2:b1,89
K14:L9:w1-1-2-1-3-1-2-1-2:b1,K3:L2:w1-2:b1,89
K13:L9:w1-1-1-2-1-3-1-1-2:b1,K4:L3:w1-1-2:b1,89
K3:L2:w1-2:b1,K10:L7:w1-1-1-3-1-1-2:b1,89
K14:L9:w1-1-1-1-2-1-4-1-2:b1,K5:L4:w1-1-1-2:b1,89
K14:L9:w1-1-1-2-1-1-4-1-2:b1,K4:L3:w1-1-2:b1,89
K14:L9:w1-1-1-2-1-3-2-1-2:b1,K4:L3:w1-1-2:b1,89
K14:L9:w1-1-1-1-3-1-1-2-3:b1,K10:L7:w1-1-1-3-1-1-2:b1,89
K3:L2:w1-2:b1,K11:L7:w1-1-1-2-2-2-2:b1,88
K14:L9:w1-1-1-1-3-1-2-1-3:b1,K9:L6:w1-1-1-3-1-2:b1,88
K3:L2:w1-2:b1,K10:L7:w1-1-1-2-1-1-3:b1,88
K13:L9:w1-1-1-1-3-1-1-2-2:b1,K12:L8:w1-1-1-3-1-1-2-2:b1,88
K14:L9:w1-1-1-2-1-4-1-1-2:b1,K4:L3:w1-1-2:b1,88
K10:L8:w1-1-1-1-1-1-1-3:b1,K9:L7:w1-1-1-1-1-1-3:b1,88
K14:L9:w1-1-2-1-2-1-2-1-3:b1,K3:L2:w1-2:b3,88
K14:L9:w1-1-2-1-2-1-3-1-2:b1,K3:L2:w1-2:b2,88
K14:L9:w1-1-1-1-1-2-1-3-3:b1,K10:L7:w1-1-1-1-2-1-3:b1,88
K14:L9:w1-1-1-1-4-1-1-2-2:b1,K11:L7:w1-1-1-4-1-1-2:b1,88
K14:L9:w1-1-1-2-1-2-1-1-4:b1,K7:L5:w1-1-2-1-2:b1,87
K13:L9:w1-1-1-2-1-1-2-1-3:b1,K4:L3:w1-1-2:b2,87
K14:L9:w1-1-1-2-3-2-1-1-2:b1,K4:L3:w1-1-2:b1,87
K14:L9:w1-1-1-2-3-1-2-1-2:b1,K4:L3:w1-1-2:b1,87
K14:L9:w1-1-2-1-1-3-1-1-3:b1,K3:L2:w1-2:b1,87
K14:L9:w1-1-1-1-1-2-2-2-3:b1,K10:L7:w1-1-1-1-2-2-2:b1,87
K14:L9:w1-1-1-1-2-2-1-2-3:b1,K10:L7:w1-1-1-2-2-1-2:b1,87
K13:L9:w1-1-1-1-1-2-1-2-3:b1,K12:L8:w1-1-1-1-2-1-2-3:b1,87
K9:L8:w1-1-1-1-1-1-1-2:b1,K8:L7:w1-1-1-1-1-1-2:b1,86
K13:L9:w1-1-1-1-1-2-3-1-2:b1,K12:L8:w1-1-1-1-2-3-1-2:b1,86
K14:L9:w1-1-1-2-3-1-1-2-2:b1,K4:L3:w1-1-2:b1,86
K14:L9:w1-1-1-1-3-2-2-1-2:b1,K6:L4:w1-1-1-3:b1,86
K13:L9:w1-1-1-1-2-2-1-2-2:b1,K12:L8:w1-1-1-2-2-1-2-2:b1,86
K14:L9:w1-1-1-1-1-1-4-1-3:b1,K9:L6:w1-1-1-1-1-4:b1,86
K14:L9:w1-1-1-2-1-1-3-1-3:b1,K9:L6:w1-1-2-1-1-3:b1,86
K14:L9:w1-1-1-2-1-2-2-1-3:b1,K9:L6:w1-1-2-1-2-2:b1,86
K13:L9:w1-1-1-1-1-2-1-3-2:b1,K12:L8:w1-1-1-1-2-1-3-2:b1,86
K3:L2:w1-2:b1,K10:L7:w1-1-1-2-1-2-2:b1,85
K14:L9:w1-1-1-1-1-1-1-4-3:b1,K10:L7:w1-1-1-1-1-1-4:b1,85
K15:L10:w1-1-1-2-2-1-2-1-2-2:b1,K14:L9:w1-1-2-2-1-2-1-2-2:b1,84
K14:L9:w1-1-1-1-1-3-1-2-3:b1,K10:L7:w1-1-1-1-3-1-2:b1,84
