source_node,source_id,source_K,source_L,source_b,t,start_residue_bits,start_residue,start_bit_length,stopped_below_start,stop_or_final_step,episode_count,max_ratio,episode_path
K9:L6:w1-1-2-2-1-2,22,9,6,1,0,10,71,7,1,32,13,43.33802816901409,K9:L6:w1-1-2-2-1-2:b1@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b1@6 > K3:L2:w1-2:b1@7 > K15:L10:w1-1-1-2-3-1-1-2-1-2:b1@9 > K4:L3:w1-1-2:b1@10 > K3:L2:w1-2:b1@11 > K7:L5:w1-1-2-1-2:b1@14 > K3:L2:w1-2:b2@15 > K3:L2:w1-2:b1@17 > K15:L10:w1-1-1-1-1-3-1-1-1-4:b1@19 > K14:L9:w1-1-1-1-3-1-1-1-4:b1@20 > K6:L4:w1-1-1-3:b1@21
K9:L6:w1-1-2-2-1-2,22,9,6,1,1,10,71,11,1,9,2,2.2511415525114153,K11:L7:w1-1-2-2-1-2-2:b1@0 > K3:L2:w1-2:b1@1
K9:L7:w1-1-1-1-1-1-3,23,9,7,1,0,10,895,10,1,15,4,11.402234636871508,K15:L10:w1-1-1-1-1-1-3-1-3-2:b1@0 > K14:L9:w1-1-1-1-1-3-1-3-2:b1@1 > K11:L7:w1-1-1-1-3-1-3:b1@2 > K6:L4:w1-1-1-3:b1@3
K9:L7:w1-1-1-1-1-1-3,23,9,7,1,1,10,895,11,1,13,6,11.396039603960396,K15:L11:w1-1-1-1-1-1-3-2-1-1-2:b1@0 > K14:L10:w1-1-1-1-1-3-2-1-1-2:b1@1 > K13:L9:w1-1-1-1-3-2-1-1-2:b1@2 > K12:L8:w1-1-1-3-2-1-1-2:b1@3 > K4:L3:w1-1-2:b1@8 > K3:L2:w1-2:b1@9
K9:L7:w1-1-1-1-1-2-2,24,9,7,1,0,10,703,10,1,51,22,118.77809388335704,K9:L7:w1-1-1-1-1-2-2:b1@0 > K8:L6:w1-1-1-1-2-2:b1@1 > K7:L5:w1-1-1-2-2:b1@2 > K6:L4:w1-1-2-2:b1@3 > K3:L2:w1-2:b1@4 > K12:L9:w1-1-1-1-1-2-1-2-2:b1@7 > K16:L11:w1-1-1-1-2-1-2-2-1-1-3:b1@8 > K15:L10:w1-1-1-2-1-2-2-1-1-3:b1@9 > K14:L9:w1-1-2-1-2-2-1-1-3:b1@10 > K3:L2:w1-2:b2@11 > K3:L2:w1-2:b1@13 > K5:L4:w1-1-1-2:b1@20 > K4:L3:w1-1-2:b1@21 > K3:L2:w1-2:b1@22 > K15:L11:w1-1-1-1-2-1-1-2-1-1-3:b1@24 > K16:L11:w1-1-1-2-1-1-2-1-1-3-2:b1@25 > K4:L3:w1-1-2:b2@26 > K3:L2:w1-2:b1@27 > K11:L7:w1-1-2-1-1-3-2:b1@29 > K3:L2:w1-2:b1@30 > K4:L3:w1-1-2:b1@37 > K3:L2:w1-2:b1@38
K9:L7:w1-1-1-1-1-2-2,24,9,7,1,1,10,703,11,1,8,5,7.597568037058483,K9:L7:w1-1-1-1-1-2-2:b1@0 > K8:L6:w1-1-1-1-2-2:b1@1 > K7:L5:w1-1-1-2-2:b1@2 > K6:L4:w1-1-2-2:b1@3 > K3:L2:w1-2:b1@4
K9:L7:w1-1-1-1-2-1-2,25,9,7,1,0,10,415,9,1,9,5,5.708433734939759,K11:L8:w1-1-1-1-2-1-2-2:b1@0 > K10:L7:w1-1-1-2-1-2-2:b1@1 > K9:L6:w1-1-2-1-2-2:b1@2 > K3:L2:w1-2:b2@3 > K3:L2:w1-2:b1@5
K9:L7:w1-1-1-1-2-1-2,25,9,7,1,1,10,415,11,1,12,7,9.618485059068798,K16:L11:w1-1-1-1-2-1-2-1-1-2-3:b1@0 > K15:L10:w1-1-1-2-1-2-1-1-2-3:b1@1 > K14:L9:w1-1-2-1-2-1-1-2-3:b1@2 > K3:L2:w1-2:b2@3 > K3:L2:w1-2:b1@5 > K4:L3:w1-1-2:b1@7 > K3:L2:w1-2:b1@8
K9:L7:w1-1-1-2-1-1-2,26,9,7,1,0,10,495,9,1,17,9,9.634343434343434,K15:L11:w1-1-1-2-1-1-2-1-1-2-2:b1@0 > K4:L3:w1-1-2:b3@1 > K3:L2:w1-2:b1@2 > K4:L3:w1-1-2:b2@4 > K3:L2:w1-2:b1@5 > K12:L8:w1-1-2-2-1-2-1-2:b1@7 > K3:L2:w1-2:b1@8 > K3:L2:w1-2:b2@11 > K3:L2:w1-2:b1@13
K9:L7:w1-1-1-2-1-1-2,26,9,7,1,1,10,495,11,1,10,5,5.699144173798552,K12:L8:w1-1-1-2-1-1-2-3:b1@0 > K4:L3:w1-1-2:b2@1 > K3:L2:w1-2:b1@2 > K4:L3:w1-1-2:b1@4 > K3:L2:w1-2:b1@5
