src,dst,count
K15:L11:w1-1-1-1-1-1-1-3-1-2-2:b1,K14:L10:w1-1-1-1-1-1-3-1-2-2:b1,11
K3:L2:w1-2:b1,K8:L6:w1-1-1-2-1-2:b1,11
K15:L10:w1-1-1-1-2-1-3-1-2-2:b1,K14:L9:w1-1-1-2-1-3-1-2-2:b1,11
K11:L9:w1-1-1-1-1-1-1-2-2:b1,K10:L8:w1-1-1-1-1-1-2-2:b1,10
K15:L10:w1-1-1-2-1-2-2-1-1-3:b1,K14:L9:w1-1-2-1-2-2-1-1-3:b1,10
K12:L8:w1-1-1-2-1-1-2-3:b1,K4:L3:w1-1-2:b2,10
K3:L2:w1-2:b1,K11:L8:w1-1-1-2-2-1-1-2:b1,10
K14:L9:w1-1-1-2-1-1-4-1-2:b1,K4:L3:w1-1-2:b1,10
K14:L9:w1-1-1-2-1-2-3-1-2:b1,K7:L5:w1-1-2-1-2:b1,10
K12:L8:w1-1-2-1-2-1-1-3:b1,K3:L2:w1-2:b2,10
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-1-1-3:b1,10
K14:L9:w1-1-1-2-1-1-1-3-3:b1,K4:L3:w1-1-2:b1,10
K16:L12:w1-1-1-1-1-2-1-1-2-1-2-2:b1,K15:L11:w1-1-1-1-2-1-1-2-1-2-2:b1,10
K15:L11:w1-1-1-2-1-1-2-1-2-1-2:b1,K4:L3:w1-1-2:b2,10
K14:L9:w1-1-1-1-1-1-4-2-2:b1,K11:L7:w1-1-1-1-1-4-2:b1,10
K13:L9:w1-1-1-2-2-2-1-1-2:b1,K6:L4:w1-1-2-2:b1,10
K14:L9:w1-1-1-1-2-1-3-2-2:b1,K11:L7:w1-1-1-2-1-3-2:b1,10
K14:L9:w1-1-1-1-3-2-1-2-2:b1,K11:L7:w1-1-1-3-2-1-2:b1,10
K14:L9:w1-1-1-1-3-1-1-3-2:b1,K11:L7:w1-1-1-3-1-1-3:b1,10
K14:L9:w1-1-3-1-2-1-2-1-2:b1,K3:L2:w1-2:b3,10
K13:L9:w1-1-1-1-2-1-2-1-3:b1,K12:L8:w1-1-1-2-1-2-1-3:b1,10
K14:L9:w1-1-1-1-1-2-3-2-2:b1,K11:L7:w1-1-1-1-2-3-2:b1,10
K13:L9:w1-1-1-1-2-2-2-1-2:b1,K12:L8:w1-1-1-2-2-2-1-2:b1,10
K15:L10:w1-1-1-1-1-2-1-1-2-4:b1,K14:L9:w1-1-1-1-2-1-1-2-4:b1,10
K15:L10:w1-1-1-2-1-3-1-1-2-2:b1,K14:L9:w1-1-2-1-3-1-1-2-2:b1,10
K13:L9:w1-1-1-3-1-2-1-1-2:b1,K3:L2:w1-2:b1,10
K14:L9:w1-1-1-1-1-3-2-1-3:b1,K9:L6:w1-1-1-1-3-2:b1,10
K14:L9:w1-1-1-1-1-1-3-3-2:b1,K11:L7:w1-1-1-1-1-3-3:b1,10
K3:L2:w1-2:b1,K10:L7:w1-1-1-3-1-1-2:b1,10
K3:L2:w1-2:b1,K14:L9:w1-1-2-1-2-2-1-1-3:b1,10
K6:L4:w1-1-1-3:b1,K13:L9:w1-1-1-1-1-3-2-1-2:b1,10
K14:L9:w1-1-1-1-1-1-1-5-2:b1,K11:L7:w1-1-1-1-1-1-5:b1,10
K3:L2:w1-2:b1,K9:L6:w1-1-1-1-2-3:b1,10
