K,L,word,C_w,A,denominator,q_num,q_den,q_decimal,residue_bits,q_mod_2_power
15,10,1 1 1 1 2 1 1 4 1 2,82697,15,-26281,-2017,641,-3.14664586583,16,27295
15,10,1 1 1 1 2 1 2 1 1 4,69641,15,-26281,-69641,26281,-2.6498611164,16,58783
15,10,1 1 1 1 2 1 2 1 2 3,71689,15,-26281,-71689,26281,-2.72778813592,16,7583
15,10,1 1 1 1 2 1 2 1 3 2,75785,15,-26281,-75785,26281,-2.88364217496,16,36255
15,10,1 1 1 1 2 1 2 2 1 3,74761,15,-26281,-74761,26281,-2.8446786652,16,61855
15,10,1 1 1 1 2 1 2 2 2 2,78857,15,-26281,-78857,26281,-3.00053270423,16,24991
15,10,1 1 1 1 2 1 2 3 1 2,85001,15,-26281,-85001,26281,-3.23431376279,16,2463
15,10,1 1 1 1 2 1 3 1 1 3,79369,15,-26281,-79369,26281,-3.02001445911,16,12191
15,10,1 1 1 1 2 1 3 1 2 2,83465,15,-26281,-83465,26281,-3.17586849815,16,40863
15,10,1 1 1 1 2 1 3 2 1 2,89609,15,-26281,-89609,26281,-3.40964955671,16,18335
15,10,1 1 1 1 2 1 4 1 1 2,98825,15,-26281,-98825,26281,-3.76032114455,16,50079
15,10,1 1 1 1 2 2 1 1 1 4,73097,15,-26281,-73097,26281,-2.78136296184,16,21535
15,10,1 1 1 1 2 2 1 1 2 3,75145,15,-26281,-75145,26281,-2.85928998136,16,35871
15,10,1 1 1 1 2 2 1 1 3 2,79241,15,-26281,-79241,26281,-3.01514402039,16,64543
15,10,1 1 1 1 2 2 1 2 1 3,78217,15,-26281,-78217,26281,-2.97618051064,16,24607
15,10,1 1 1 1 2 2 1 2 2 2,82313,15,-26281,-82313,26281,-3.13203454967,16,53279
15,10,1 1 1 1 2 2 1 3 1 2,88457,15,-26281,-88457,26281,-3.36581560823,16,30751
15,10,1 1 1 1 2 2 2 1 1 3,82825,15,-26281,-82825,26281,-3.15151630455,16,40479
15,10,1 1 1 1 2 2 2 1 2 2,86921,15,-26281,-86921,26281,-3.30737034359,16,3615
15,10,1 1 1 1 2 2 2 2 1 2,93065,15,-26281,-93065,26281,-3.54115140215,16,46623
15,10,1 1 1 1 2 2 3 1 1 2,102281,15,-26281,-102281,26281,-3.89182298999,16,12831
15,10,1 1 1 1 2 3 1 1 1 3,89737,15,-26281,-89737,26281,-3.41451999543,16,31519
15,10,1 1 1 1 2 3 1 1 2 2,93833,15,-26281,-93833,26281,-3.57037403447,16,60191
15,10,1 1 1 1 2 3 1 2 1 2,99977,15,-26281,-99977,26281,-3.80415509303,16,37663
15,10,1 1 1 1 2 3 2 1 1 2,109193,15,-26281,-109193,26281,-4.15482668087,16,3871
15,10,1 1 1 1 2 4 1 1 1 2,123017,15,-26281,-123017,26281,-4.68083406263,16,51487
15,10,1 1 1 1 3 1 1 1 1 4,78281,15,-26281,-78281,26281,-2.97861573,16,63967
15,10,1 1 1 1 3 1 1 1 2 3,80329,15,-26281,-80329,26281,-3.05654274951,16,12767
15,10,1 1 1 1 3 1 1 1 3 2,84425,15,-26281,-84425,26281,-3.21239678855,16,41439
